date,cat_id,product_id,root_cat_id,hits,clicks,popularity,cat_name
2018-12-02,11091,241400,101,2,0,5732,3D-printer
2018-12-02,11573,213048,128,2,1,1197,Nettverkskabler
2018-12-03,11091,241400,101,1,0,5732,3D-printer
2018-12-03,11573,424805,256,16,2,2394,Nettverkskabler
2018-12-04,11091,241400,101,1,0,5732,3D-printer
2018-12-04,11573,213048,128,1,0,1197,Nettverkskabler
2018-12-05,11573,424805,256,5,2,2394,Nettverkskabler
2018-12-06,11573,424805,256,3,0,2394,Nettverkskabler
2018-12-07,11091,241400,101,1,0,5732,3D-printer
2018-12-07,11573,424805,256,3,0,2394,Nettverkskabler
2018-12-08,11573,424805,256,8,4,2394,Nettverkskabler
2018-12-09,11091,241400,101,1,0,5732,3D-printer
2018-12-09,11573,424805,256,5,2,2394,Nettverkskabler
2018-12-10,11573,424805,256,5,1,2394,Nettverkskabler
2018-12-11,11573,424805,256,2,0,2394,Nettverkskabler
2018-12-12,11091,241400,101,1,0,5732,3D-printer
2018-12-12,11573,424805,256,5,1,2394,Nettverkskabler
2018-12-13,11091,241400,101,1,0,5732,3D-printer
2018-12-13,11573,424805,256,3,0,2394,Nettverkskabler
2018-12-14,11091,241400,101,1,0,5732,3D-printer
2018-12-14,11573,211757,128,2,0,1197,Nettverkskabler
2018-12-15,11573,211757,128,2,0,1197,Nettverkskabler
2018-12-16,11573,211757,128,2,0,1197,Nettverkskabler
2018-12-17,11091,241400,101,2,0,5732,3D-printer
2018-12-17,11573,424805,256,6,4,2394,Nettverkskabler
2018-12-18,11091,241400,101,1,0,5732,3D-printer
2018-12-18,11573,211757,128,1,1,1197,Nettverkskabler
2018-12-19,11573,424805,256,3,0,2394,Nettverkskabler
2018-12-20,11573,424805,256,6,2,2394,Nettverkskabler
2018-12-21,11573,424805,256,8,2,2394,Nettverkskabler
2018-12-22,11573,213048,128,1,0,1197,Nettverkskabler
2018-12-23,11573,424805,256,2,0,2394,Nettverkskabler
2018-12-24,11573,211757,128,1,0,1197,Nettverkskabler
2018-12-25,11573,213048,128,3,2,1197,Nettverkskabler
2018-12-26,11573,424805,256,4,2,2394,Nettverkskabler
2018-12-27,11573,424805,256,4,0,2394,Nettverkskabler
2018-12-28,11573,424805,256,4,0,2394,Nettverkskabler
2018-12-29,11091,241400,101,3,0,5732,3D-printer
2018-12-29,11573,424805,256,5,2,2394,Nettverkskabler
2018-12-30,11573,424805,256,5,1,2394,Nettverkskabler
2018-12-31,11573,424805,256,4,1,2394,Nettverkskabler
2019-01-01,11573,424805,256,10,5,2394,Nettverkskabler
2019-01-02,11091,241400,101,1,0,5732,3D-printer
2019-01-02,11573,424805,256,5,2,2394,Nettverkskabler
2019-01-03,11573,424805,256,8,0,2394,Nettverkskabler
2019-01-04,11573,424805,256,10,1,2394,Nettverkskabler
