id,product_id,manufacturer_id,cat_id,root_cat_id,date,hits,clicks,last_modified
35237122,211757,722,11573,101,2021-09-08,1,1,2021-09-09 05:35:12.354425
35149255,211757,722,11573,101,2021-09-06,2,0,2021-09-07 05:30:06.734081
35080572,211757,722,11573,101,2021-09-04,2,0,2021-09-05 05:20:05.084482
35042861,211757,722,11573,101,2021-09-03,5,2,2021-09-04 05:10:35.809476
34817620,211757,722,11573,101,2021-08-27,4,0,2021-08-28 05:11:36.199285
34796949,211757,722,11573,101,2021-08-26,1,0,2021-08-27 05:33:40.291549
34763798,211757,722,11573,101,2021-08-25,1,0,2021-08-26 05:37:55.177134
34724382,211757,722,11573,101,2021-08-24,2,0,2021-08-25 05:21:18.105922
34634245,211757,722,11573,101,2021-08-21,3,3,2021-08-22 05:15:01.960611
34611924,211757,722,11573,101,2021-08-20,1,0,2021-08-21 05:55:45.422814
34537796,211757,722,11573,101,2021-08-18,2,0,2021-08-19 05:25:56.532656
34467880,211757,722,11573,101,2021-08-16,2,0,2021-08-17 05:27:29.624209
34439012,211757,722,11573,101,2021-08-15,1,1,2021-08-16 05:42:30.162939
34334396,211757,722,11573,101,2021-08-12,1,0,2021-08-13 05:42:17.418333
34291469,211757,722,11573,101,2021-08-11,2,0,2021-08-12 05:26:21.674007
34262453,211757,722,11573,101,2021-08-10,1,1,2021-08-11 05:44:54.107440
34122063,211757,722,11573,101,2021-08-06,1,1,2021-08-07 05:34:52.218073
34087908,211757,722,11573,101,2021-08-05,1,0,2021-08-06 05:40:55.356341
34045536,211757,722,11573,101,2021-08-04,2,0,2021-08-05 05:25:23.203756
34017036,211757,722,11573,101,2021-08-03,1,1,2021-08-04 05:42:06.175933
33968411,211757,722,11573,101,2021-08-02,4,1,2021-08-03 05:18:29.889585
33910266,211757,722,11573,101,2021-07-31,1,0,2021-08-01 05:33:35.497994
33825671,211757,722,11573,101,2021-07-29,4,2,2021-07-30 05:17:06.018676
33766149,211757,722,11573,101,2021-07-27,1,0,2021-07-28 05:43:31.095317
33730383,211757,722,11573,101,2021-07-26,1,1,2021-07-27 05:44:00.906105
33691863,211757,722,11573,101,2021-07-25,2,1,2021-07-26 05:18:00.913690
33668309,211757,722,11573,101,2021-07-24,1,0,2021-07-25 05:24:36.353644
33639065,211757,722,11573,101,2021-07-23,1,0,2021-07-24 05:28:08.482636
33596634,211757,722,11573,101,2021-07-22,4,4,2021-07-23 05:14:06.229635
33542326,211757,722,11573,101,2021-07-20,1,0,2021-07-21 05:38:01.085705
33501387,211757,722,11573,101,2021-07-19,2,2,2021-07-20 05:27:53.071490
33460151,211757,722,11573,101,2021-07-18,7,2,2021-07-19 05:10:14.204309
33436445,211757,722,11573,101,2021-07-17,2,1,2021-07-18 05:18:12.487841
33405874,211757,722,11573,101,2021-07-16,2,1,2021-07-17 05:18:57.387304
33144522,211757,722,11573,101,2021-07-08,4,3,2021-07-09 05:14:51.454304
33114918,211757,722,11573,101,2021-07-07,2,1,2021-07-08 05:25:58.693275
33070630,211757,722,11573,101,2021-07-06,4,4,2021-07-07 05:17:31.527317
33007031,211757,722,11573,101,2021-07-04,2,1,2021-07-05 05:25:01.546473
32982199,211757,722,11573,101,2021-07-03,1,1,2021-07-04 05:26:04.215642
32922616,211757,722,11573,101,2021-07-01,1,0,2021-07-02 05:33:09.133079
32787269,211757,722,11573,101,2021-06-27,1,0,2021-06-28 05:41:35.692320
32745781,211757,722,11573,101,2021-06-26,3,1,2021-06-27 05:16:27.266024
32723529,211757,722,11573,101,2021-06-25,1,0,2021-06-26 05:32:16.966553
32681446,211757,722,11573,101,2021-06-24,3,0,2021-06-25 05:17:59.121323
32658372,211757,722,11573,101,2021-06-23,1,0,2021-06-24 05:34:55.015444
32617604,211757,722,11573,101,2021-06-22,2,1,2021-06-23 05:29:25.052614
32577034,211757,722,11573,101,2021-06-21,3,1,2021-06-22 05:26:05.172810
32550329,211757,722,11573,101,2021-06-20,1,0,2021-06-21 05:48:23.127987
32507532,211757,722,11573,101,2021-06-19,2,0,2021-06-20 05:27:33.792288
32479841,211757,722,11573,101,2021-06-18,1,0,2021-06-19 05:36:17.049921
32368135,211757,722,11573,101,2021-06-15,2,0,2021-06-16 05:29:36.381134
32338303,211757,722,11573,101,2021-06-14,1,1,2021-06-15 05:55:36.438773
32285415,211757,722,11573,101,2021-06-13,5,2,2021-06-14 05:15:51.754705
32261200,211757,722,11573,101,2021-06-12,1,1,2021-06-13 05:38:59.996202
32186659,211757,722,11573,101,2021-06-10,2,0,2021-06-11 05:25:40.644332
32159604,211757,722,11573,101,2021-06-09,1,0,2021-06-10 05:36:52.111758
32114394,211757,722,11573,101,2021-06-08,4,0,2021-06-09 05:17:50.155990
32049526,211757,722,11573,101,2021-06-06,2,4,2021-06-07 05:29:22.364783
31993035,211757,722,11573,101,2021-06-04,1,1,2021-06-05 05:31:46.830230
31817692,211757,722,11573,101,2021-05-30,3,0,2021-05-31 05:20:21.509730
31699849,211757,722,11573,101,2021-05-26,1,1,2021-05-27 05:45:01.271964
31655800,211757,722,11573,101,2021-05-25,2,0,2021-05-26 05:33:03.344917
31612061,211757,722,11573,101,2021-05-24,4,1,2021-05-25 05:20:56.215011
31510361,211757,722,11573,101,2021-05-21,3,2,2021-05-22 05:17:55.961480
31486049,211757,722,11573,101,2021-05-20,1,0,2021-05-21 05:42:31.424944
31410429,211757,722,11573,101,2021-05-18,1,2,2021-05-19 05:50:12.216302
31336873,211757,722,11573,101,2021-05-16,2,1,2021-05-17 05:22:58.785018
31265877,211757,722,11573,101,2021-05-14,3,0,2021-05-15 05:19:04.282169
31234802,211757,722,11573,101,2021-05-13,2,1,2021-05-14 05:24:49.212131
31207264,211757,722,11573,101,2021-05-12,1,1,2021-05-13 05:35:04.560903
31161175,211757,722,11573,101,2021-05-11,4,0,2021-05-12 05:17:36.610873
31092454,211757,722,11573,101,2021-05-09,2,0,2021-05-10 05:34:43.774131
31030564,211757,722,11573,101,2021-05-07,1,0,2021-05-08 05:36:40.448275
30954297,211757,722,11573,101,2021-05-05,2,0,2021-05-06 05:28:56.326675
30887814,211757,722,11573,101,2021-05-03,1,0,2021-05-04 05:55:01.037036
30838862,211757,722,11573,101,2021-05-02,3,1,2021-05-03 05:24:23.457185
30702612,211757,722,11573,101,2021-04-28,2,0,2021-04-29 05:28:25.929645
30627944,211757,722,11573,101,2021-04-26,2,0,2021-04-27 05:35:33.158175
30512252,211757,722,11573,101,2021-04-23,2,0,2021-04-24 05:26:49.578027
30469466,211757,722,11573,101,2021-04-22,5,1,2021-04-23 05:15:17.898700
30446209,211757,722,11573,101,2021-04-21,1,0,2021-04-22 05:49:37.612904
30371044,211757,722,11573,101,2021-04-19,1,0,2021-04-20 05:53:23.877523
30292940,211757,722,11573,101,2021-04-17,2,0,2021-04-18 05:23:49.328654
30231101,211757,722,11573,101,2021-04-15,1,0,2021-04-16 05:46:48.501083
30156260,211757,722,11573,101,2021-04-13,1,0,2021-04-14 05:50:54.760115
30078051,211757,722,11573,101,2021-04-11,1,1,2021-04-12 05:56:56.136213
30039446,211757,722,11573,101,2021-04-10,1,0,2021-04-11 05:44:49.094164
29991505,211757,722,11573,101,2021-04-09,3,0,2021-04-10 05:20:57.697924
29914673,211757,722,11573,101,2021-04-07,3,1,2021-04-08 05:26:45.196183
29886959,211757,722,11573,101,2021-04-06,1,0,2021-04-07 05:58:29.324487
29762191,211757,722,11573,101,2021-04-03,3,0,2021-04-04 05:16:52.718162
