parent,title_no,internal_doc_type,image_url,description,title,title_phonetic,url,tags,path,_version_,internal_doc_id,popularity,root,alias,title_edge_ngram,id,alias_no,adult,last_modified,parents
Vannsport,Vannski,category,/3131/3131139/da3b0f02940b4bf2a6831a4a2113fdc7.18x75!m.png,1 produkter,Vannski,Vannski,/kategorier/vannski,products,Sport og friluftsliv>Sportsutstyr>Vannsport>Vannski,1717733688117035008,13053,1004,Sport og friluftsliv,water ski,Vannski,13053,water ski,false,2021-11-29T04:01:40.783Z,"Sport og friluftsliv,Sportsutstyr,Vannsport"
Sportsutstyr,Vannsport,category,/1698/1698422/original.36x75!m.jpg,870 produkter,Vannsport,Vannsport,/kategorier/vannsport,categories,Sport og friluftsliv>Sportsutstyr>Vannsport,1717733688117035009,10065,4000,Sport og friluftsliv,,Vannsport,10065,,false,2021-11-29T04:01:40.783Z,"Sport og friluftsliv,Sportsutstyr"
Hagearbeid,Vannspreder,category,/1705/1705821/original.132x75!m.jpg,35 produkter,Vannspreder,Vannspreder,/kategorier/vannspreder,products,Hage og utemiljø>Hagearbeid>Vannspreder,1717733688118083584,11661,1046,Hage og utemiljø,spreder,Vannspreder,11661,spreder,false,2021-11-29T04:01:40.783Z,"Hage og utemiljø,Hagearbeid"
Hansker og votter,Vanter,category,/3071/3071632/original.68x75!m.jpg,758 produkter,Vanter,Vanter,/kategorier/vanter,filter,Klær og sko>Accessories og tilbehør>Hansker og votter>Vanter,1717733688118083585,12811,5897,Klær og sko,,Vanter,12811,,false,2021-11-29T04:01:40.783Z,"Klær og sko,Accessories og tilbehør,Hansker og votter"
Tilhenger,Varehenger,category,/3154/3154296/i.192x75!m.jpg,99 produkter,Varehenger,Varehenger,/kategorier/varehenger,filter,Bilutstyr>Tilhenger>Varehenger,1717733688119132160,13209,1469,Bilutstyr,,Varehenger,13209,,false,2021-11-29T04:01:40.783Z,"Bilutstyr,Tilhenger"
Hjem og husholdning,Varme og klima,category,/2968/2968092/original.50x75!m.jpg,1195 produkter,Varme og klima,Varme og klima,/kategorier/varme-og-klima,categories,Hjem og husholdning>Varme og klima,1717733688119132161,11197,24799,Hjem og husholdning,aircondition:avfuktere:varmeovner:varmepumper:luftrensere:værstasjoner:vifter,Varme og klima,11197,aircondition:avfuktere:varmeovner:varmepumper:luftrensere:værstasjoner:vifter,false,2021-11-29T04:01:40.783Z,Hjem og husholdning
Kroppspleie,Varmeflaske,category,/3197/3197261/i.42x75!m.jpg,10 produkter,Varmeflaske,Varmeflaske,/kategorier/varmeflaske,products,Skjønnhet og helse>Kroppspleie>Varmeflaske,1717733688119132162,13385,2135,Skjønnhet og helse,,Varmeflaske,13385,,false,2021-11-29T04:01:40.783Z,"Skjønnhet og helse,Kroppspleie"
Elektro,Varmefolie,category,/1628/1628881/original.54x75!m.jpg,80 produkter,Varmefolie,Varmefolie,/kategorier/varmefolie,products,Bygg og verktøy>Elektro>Varmefolie,1717733688120180736,11398,2579,Bygg og verktøy,"folie,gulvvarme,varmegulv,varmematte",Varmefolie,11398,"varmematte,folie,gulvvarme,varmegulv",false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Elektro"
Elektro,Varmekabler,category,/1555/1555022/varmekabler.100x75!m.jpg,234 produkter,Varmekabler,Varmekabler,/kategorier/varmekabler,products,Bygg og verktøy>Elektro>Varmekabler,1717733688120180737,11266,1154,Bygg og verktøy,"gulvvarme,varmegulv,varmekabel",Varmekabler,11266,"varmekabel,gulvvarme,varmegulv",false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Elektro"
Lokalisering,Varmekamera og varmesøker,category,/3152/3152653/ProductImage28851741.34x75!m.jpg,12 produkter,Varmekamera og varmesøker,Varmekamera og varmesøker,/kategorier/varmekamera-og-varmesoeker,products,Bygg og verktøy>Verktøy>Måleverktøy og laserverktøy>Lokalisering>Varmekamera og varmesøker,1717733688121229312,13202,1264,Bygg og verktøy,,Varmekamera og varmesøker,13202,,false,2021-11-29T04:01:40.783Z,"Bygg og verktøy,Verktøy,Måleverktøy og laserverktøy,Lokalisering"
