parent,title_no,internal_doc_type,image_url,description,title,title_phonetic,url,tags,path,_version_,internal_doc_id,popularity,root,alias,title_edge_ngram,id,alias_no,adult,last_modified,parents
Sofa,2-seter sofa,category,/3135/3135859/jot_1603574-03_Fs.154x75!m.png,181 produkter,2-seter sofa,2-seter sofa,/kategorier/2-seter-sofa,filter,Hjem og husholdning>Møbler>Sofa>2-seter sofa,1711025782604693504,13084,1192,Hjem og husholdning,,2-seter sofa,13084,,false,2021-09-16T03:02:23.579Z,"Hjem og husholdning,Møbler,Sofa"
Sofa,3-seter sofa,category,/3135/3135481/jot_1514401-01_Fs.168x75!m.png,181 produkter,3-seter sofa,3-seter sofa,/kategorier/3-seter-sofa,filter,Hjem og husholdning>Møbler>Sofa>3-seter sofa,1711025782607839232,13085,1192,Hjem og husholdning,,3-seter sofa,13085,,false,2021-09-16T03:02:23.579Z,"Hjem og husholdning,Møbler,Sofa"
Foto og video,360-kamera,category,/2529/2529818/original.98x75!m.jpg,19 produkter,360-kamera,360-kamera,/kategorier/360-kamera,products,Foto og video>360-kamera,1711025782608887808,11874,1406,Foto og video,"360-graderskamera,vr-kamera",360-kamera,11874,"360-graderskamera,vr-kamera",false,2021-09-16T03:02:23.579Z,Foto og video
TV og hjemmekino,3D-briller,category,/1335/1335677/3d-briller.148x75!m.jpg,6 produkter,3D-briller,3D-briller,/kategorier/3d-briller,products,Lyd og bilde>TV og hjemmekino>3D-briller,1711025782608887809,11030,1007,Lyd og bilde,,3D-briller,11030,,false,2021-09-16T03:02:23.579Z,"Lyd og bilde,TV og hjemmekino"
"Skriver, skanner og tilbehør",3D-printer,category,/1194/1194469/bfb-3dtouch-smoke-3d-printer_0.68x75!m.jpg,57 produkter,3D-printer,3D-printer,/kategorier/3d-printer,products,"Data>Skriver, skanner og tilbehør>3D-printer",1711025782608887810,11091,1729,Data,"3d printere,3d-skriver,printer,skriver,skrivere",3D-printer,11091,"3d printere,printer,skriver,skrivere,3d-skriver",false,2021-09-16T03:02:23.579Z,"Data,Skriver\, skanner og tilbehør"
Nettverk,56K/ISDN/DSL-modem,category,/246/246122/i_246122.118x75!m.jpg,3 produkter,56K/ISDN/DSL-modem,56K/ISDN/DSL-modem,/kategorier/56kisdndsl-modem,products,Data>Nettverk>56K/ISDN/DSL-modem,1711025782609936384,258,1005,Data,,56K/ISDN/DSL-modem,258,,false,2021-09-16T03:02:23.579Z,"Data,Nettverk"
Supermat,Acai,category,/3155/3155577/A3704-73_Acaipulver_90g_Superfruit_0220.327x525m.46x75!m.jpg,38 produkter,Acai,Acai,/kategorier/acai,filter,Skjønnhet og helse>Apotek>Helsekost>Supermat>Acai,1711025782609936385,13246,1032,Skjønnhet og helse,,Acai,13246,,false,2021-09-16T03:02:23.579Z,"Skjønnhet og helse,Apotek,Helsekost,Supermat"
Klær og sko,Accessories og tilbehør,category,/2983/2983950/original.58x75!m.jpg,3516 produkter,Accessories og tilbehør,Accessories og tilbehør,/kategorier/accessories-og-tilbehoer,categories,Klær og sko>Accessories og tilbehør,1711025782609936386,12335,2748,Klær og sko,,Accessories og tilbehør,12335,,false,2021-09-16T03:02:23.579Z,Klær og sko
Barneklær,Accessories og tilbehør til barn,category,/3030/3030601/original.40x75!m.jpg,407 produkter,Accessories og tilbehør til barn,Accessories og tilbehør til barn,/kategorier/accessories-og-tilbehoer-til-barn,categories,Klær og sko>Barneklær>Accessories og tilbehør til barn,1711025782610984960,12023,1604,Klær og sko,,Accessories og tilbehør til barn,12023,,false,2021-09-16T03:02:23.579Z,"Klær og sko,Barneklær"
Foto og video,Actionkamera,category,/3042/3042749/HMG12_AV1.94x75!m.jpg,38 produkter,Actionkamera,Actionkamera,/kategorier/actionkamera,products,Foto og video>Actionkamera,1711025782612033536,11312,2333,Foto og video,"action-kamera,actionkameraer,aksjonskamera,sportskamera",Actionkamera,11312,"aksjonskamera,actionkameraer,sportskamera,action-kamera",false,2021-09-16T03:02:23.579Z,Foto og video
