id,uuid,event,value,created
375076419,1626113280251,product_view,222033,2021-07-12 20:09:01.000000
375076420,1619727372892,product_view,225298,2021-07-12 20:09:01.000000
375076421,1626113341874,referrer,https://www.google.no,2021-07-12 20:09:01.000000
375076422,1626113341874,product_view,438691,2021-07-12 20:09:01.000000
375076423,1626113341767,referrer,https://www.google.no,2021-07-12 20:09:02.000000
375076424,1622937923936,product_view,414034,2021-07-12 20:09:02.000000
375076425,1622665210054,product_view,354174,2021-07-12 20:09:03.000000
375076426,1568755465325,product_view,339899,2021-07-12 20:09:03.000000
375076427,1626113344188,referrer,direct,2021-07-12 20:09:04.000000
375076428,1625922938704,goto,484793,2021-07-12 20:09:04.000000
375076429,1552920674477,referrer,https://www.google.com/,2021-07-12 20:09:04.000000
375076430,1567344418240,offers_view,https://prisguiden.no/tilbud?s=offer_ratio%20asc&o=60,2021-07-12 20:09:04.000000
375076431,1597582912886,referrer,direct,2021-07-12 20:09:05.000000
375076432,1567843518658,goto,451197,2021-07-12 20:09:05.000000
375076433,1610821491835,referrer,http://m.facebook.com/,2021-07-12 20:09:06.000000
375076434,1610821491835,product_view,321722,2021-07-12 20:09:06.000000
375076435,1626109238311,product_view,342182,2021-07-12 20:09:06.000000
375076436,1621980762807,referrer,direct,2021-07-12 20:09:07.000000
375076437,1625922938704,goto,484793,2021-07-12 20:09:07.000000
375076438,1626112997496,goto,484793,2021-07-12 20:09:07.000000
375076439,1615678690330,referrer,https://www.google.com/,2021-07-12 20:09:09.000000
375076440,1612644253489,product_view,488620,2021-07-12 20:09:10.000000
375076441,1615678690330,product_view,434387,2021-07-12 20:09:10.000000
375076442,1614589972601,offers_view,https://prisguiden.no/tilbud?s=offer_ratio+asc,2021-07-12 20:09:10.000000
375076443,1578916283255,goto,313844,2021-07-12 20:09:10.000000
375076444,1626113351280,referrer,https://www.google.com,2021-07-12 20:09:11.000000
375076445,1626113351307,referrer,https://www.google.com,2021-07-12 20:09:11.000000
375076446,1625599973246,referrer,direct,2021-07-12 20:09:11.000000
375076447,1626113351280,product_view,478876,2021-07-12 20:09:11.000000
375076448,1620852655493,referrer,iOS-App,2021-07-12 20:09:11.000000
375076449,1626085505069,referrer,https://www.google.no,2021-07-12 20:09:11.000000
375076450,1626113327091,product_view,244621,2021-07-12 20:09:11.000000
375076451,1563657999065,referrer,https://www.google.com/,2021-07-12 20:09:12.000000
375076452,1625922938704,goto,484793,2021-07-12 20:09:12.000000
375076453,1563657999065,product_view,285091,2021-07-12 20:09:12.000000
375076454,1573417472525,referrer,direct,2021-07-12 20:09:12.000000
375076455,1625907565974,referrer,direct,2021-07-12 20:09:13.000000
375076456,1626113339607,goto,395975,2021-07-12 20:09:13.000000
375076457,1574850149491,product_view,217716,2021-07-12 20:09:13.000000
375076458,0,product_view,389555,2021-07-12 20:09:14.000000
375076459,1626113326122,product_view,259895,2021-07-12 20:09:14.000000
375076460,1611692165209,referrer,https://www.google.com/,2021-07-12 20:09:14.000000
375076461,1626113318791,product_view,480827,2021-07-12 20:09:14.000000
375076462,1611692165209,product_view,425365,2021-07-12 20:09:15.000000
375076463,1626113355942,referrer,https://www.google.com/,2021-07-12 20:09:15.000000
375076464,1626113355942,product_view,450865,2021-07-12 20:09:15.000000
375076465,1625731530375,product_view,452624,2021-07-12 20:09:15.000000
375076466,1592430840526,product_view,395048,2021-07-12 20:09:16.000000
375076467,1626113357667,referrer,https://www.google.com/,2021-07-12 20:09:16.000000
375076468,1501783820163,referrer,Adwords,2021-07-12 20:09:16.000000
375076469,1626113351307,product_view,453058,2021-07-12 20:09:16.000000
375076470,1593701783278,product_view,260978,2021-07-12 20:09:18.000000
375076471,1626113358963,referrer,direct,2021-07-12 20:09:18.000000
375076472,1579842967152,product_view,255424,2021-07-12 20:09:19.000000
375076473,1622937923936,goto,414034,2021-07-12 20:09:19.000000
375076474,1588343293487,product_view,385791,2021-07-12 20:09:19.000000
375076475,0,goto,260392,2021-07-12 20:09:20.000000
375076476,1624568575711,goto,443214,2021-07-12 20:09:20.000000
375076477,1608681623067,product_view,453787,2021-07-12 20:09:20.000000
375076478,1606248898841,product_view,464898,2021-07-12 20:09:20.000000
375076479,1622014354917,referrer,https://www.google.com/,2021-07-12 20:09:21.000000
375076480,1626096873739,goto,392646,2021-07-12 20:09:21.000000
375076481,1626113361635,referrer,https://www.google.com/,2021-07-12 20:09:21.000000
375076482,1626113139756,offers_view,https://prisguiden.no/tilbud?o=60,2021-07-12 20:09:21.000000
375076483,1625821953923,referrer,https://www.google.no,2021-07-12 20:09:22.000000
375076484,1571331987881,referrer,Android-App,2021-07-12 20:09:22.000000
375076485,1588343293487,product_view,161187,2021-07-12 20:09:23.000000
375076486,1625821953923,product_view,390469,2021-07-12 20:09:23.000000
375076487,1579643135031,referrer,direct,2021-07-12 20:09:23.000000
375076488,1626113364522,referrer,https://www.google.com/,2021-07-12 20:09:23.000000
375076489,1626113364068,referrer,https://www.google.no,2021-07-12 20:09:24.000000
375076490,1626113336489,product_view,422098,2021-07-12 20:09:24.000000
375076491,1626113365030,referrer,https://www.google.no,2021-07-12 20:09:25.000000
375076492,1582870528656,referrer,https://www.google.com/,2021-07-12 20:09:25.000000
375076493,1556407311955,referrer,Android-App,2021-07-12 20:09:25.000000
375076494,1626113333132,product_view,328370,2021-07-12 20:09:25.000000
375076495,1601627738410,goto,390469,2021-07-12 20:09:26.000000
375076496,1620473185146,product_view,215418,2021-07-12 20:09:26.000000
375076497,1595711620813,product_view,367429,2021-07-12 20:09:27.000000
375076498,1626113263975,product_view,322419,2021-07-12 20:09:27.000000
375076499,1567843518658,goto,451197,2021-07-12 20:09:27.000000
375076500,1626113367633,referrer,https://www.google.no/,2021-07-12 20:09:28.000000
375076501,1626113182898,product_view,444934,2021-07-12 20:09:28.000000
375076502,0,goto,400223,2021-07-12 20:09:28.000000
375076503,1625965264565,referrer,https://www.google.com/,2021-07-12 20:09:28.000000
375076504,1626113340138,product_view,310513,2021-07-12 20:09:28.000000
375076505,1532072923753,referrer,https://www.google.com/,2021-07-12 20:09:28.000000
375076506,1625731530375,offers_view,https://prisguiden.no/tilbud?f%5Bb%5D=1&o=120,2021-07-12 20:09:28.000000
375076507,1532072923753,product_view,316652,2021-07-12 20:09:28.000000
375076508,0,product_view,389557,2021-07-12 20:09:29.000000
375076509,0,product_view,479896,2021-07-12 20:09:29.000000
375076510,1625599973246,product_view,505255,2021-07-12 20:09:29.000000
375076511,1626113369547,referrer,https://www.google.no,2021-07-12 20:09:29.000000
375076512,1623605626194,product_view,310490,2021-07-12 20:09:29.000000
375076513,1626113369547,product_view,257981,2021-07-12 20:09:29.000000
375076514,1626058818899,referrer,https://prisguiden.no/produkt/apple-ipad-pro-11-1tb-2021-503097,2021-07-12 20:09:29.000000
375076515,1626113369430,referrer,https://www.google.com/,2021-07-12 20:09:29.000000
375076516,1626058818899,product_view,503089,2021-07-12 20:09:30.000000
375076517,1626113091866,offers_view,https://prisguiden.no/tilbud?f%5Bb%5D=1&o=300,2021-07-12 20:09:30.000000
375076518,1626113314313,product_view,342632,2021-07-12 20:09:30.000000
375076519,1603169831019,referrer,https://www.google.com/,2021-07-12 20:09:31.000000
375076520,1616946369868,referrer,direct,2021-07-12 20:09:31.000000
375076521,1626113371261,referrer,https://www.google.no,2021-07-12 20:09:31.000000
375076522,1626110603402,referrer,https://www.google.no,2021-07-12 20:09:31.000000
375076523,1626110603402,product_view,335754,2021-07-12 20:09:31.000000
375076524,1625652416984,referrer,https://www.google.no,2021-07-12 20:09:31.000000
375076525,1573417472525,product_view,326430,2021-07-12 20:09:31.000000
375076526,1567843518658,goto,451197,2021-07-12 20:09:31.000000
375076527,1623850086183,product_view,449922,2021-07-12 20:09:31.000000
375076528,1625652416984,product_view,337938,2021-07-12 20:09:31.000000
375076529,1626113333183,product_view,389555,2021-07-12 20:09:31.000000
375076530,1626113207742,product_view,501089,2021-07-12 20:09:31.000000
375076531,1626113372072,referrer,Adwords,2021-07-12 20:09:32.000000
375076532,1614251237576,product_view,400370,2021-07-12 20:09:32.000000
375076533,1626110630684,product_view,478122,2021-07-12 20:09:32.000000
375076534,1626113372466,referrer,https://www.google.no,2021-07-12 20:09:32.000000
375076535,1626113340138,goto,310513,2021-07-12 20:09:32.000000
375076536,1626113318791,product_view,423394,2021-07-12 20:09:33.000000
375076537,1626085505069,product_view,476703,2021-07-12 20:09:33.000000
375076538,1567401536825,referrer,utm_source: pricealert,2021-07-12 20:09:33.000000
375076539,1626113373475,referrer,Adwords,2021-07-12 20:09:33.000000
375076540,1567401536825,product_view,211680,2021-07-12 20:09:33.000000
375076541,1556407311955,product_view,277795,2021-07-12 20:09:33.000000
375076542,1604593031139,referrer,Adwords,2021-07-12 20:09:35.000000
375076543,0,product_view,415995,2021-07-12 20:09:35.000000
375076544,1623423130743,referrer,https://www.google.com/,2021-07-12 20:09:35.000000
375076545,1625692262555,product_view,405117,2021-07-12 20:09:35.000000
375076546,1604593031139,product_view,320604,2021-07-12 20:09:35.000000
375076547,0,product_view,368046,2021-07-12 20:09:35.000000
375076548,1623850086183,goto,449922,2021-07-12 20:09:35.000000
375076549,1625599973246,product_view,505255,2021-07-12 20:09:35.000000
375076550,1626113377638,referrer,https://www.google.com/,2021-07-12 20:09:36.000000
375076551,1567344418240,product_view,452031,2021-07-12 20:09:36.000000
375076552,1606248898841,product_view,NaN,2021-07-12 20:09:36.000000
375076553,1626112997496,goto,484793,2021-07-12 20:09:36.000000
