epoch,model_id,Training_SMAPE,Training_MASE,Training_MSE,Training_MAE,Training_OWA
0,12532,0.619,1.001,24148.65913609229,69.74920400487127,1.064
0,11694,0.579,0.993,17966.593082164312,17.6571451724184,0.943
0,11716,0.887,0.862,52.07646835974017,3.7416579866076094,0.938
0,11950,0.809,0.757,19.671732036894014,3.1421332473385175,0.818
0,11195,0.508,0.997,59508.50755254737,77.99708226743823,1.096
0,11998,0.81,0.812,116.93442721910944,4.604862804590522,0.854
0,274,0.503,1.013,12401.669792812365,47.032432651510995,1.055
0,11407,0.5,1.026,4956.917359841946,26.760189691343804,1.001
0,46,0.431,0.916,171.05385270102707,9.24475327989075,0.909
0,11326,0.437,0.998,13997.87674953008,35.945875648833066,0.962
0,11335,0.349,0.882,4706.006752094231,23.275293025153974,0.894
0,12197,0.557,0.922,1728.2816084845247,22.58539726009591,0.934
0,11693,0.343,0.851,1441.1024909589826,23.411574994390623,0.856
0,11780,0.519,0.917,518.6038685289498,12.910423998059045,0.915
0,12502,0.532,0.993,284.9514503837823,8.667012208937637,0.952
0,11866,0.574,0.903,811.5524310893339,15.387602105939628,0.977
0,11400,0.349,0.883,5473.650377491542,42.75594091460014,0.903
0,12256,0.244,0.821,30496.02567824018,74.0149317956347,0.842
0,10320,0.577,0.988,15230.72592488979,29.387074446018822,1.01
0,10030,0.651,0.819,89.19439812164683,6.251725789572486,0.826
