epoch,model_id,Training_SMAPE,Training_MASE,Training_MSE,Training_MAE,Training_OWA
0,2,0.141,0.923,774682.721611672,529.5463784711096,0.931
0,6,0.174,0.881,4974.560424520344,50.049053967399175,0.887
0,9,0.146,0.918,73961.5589516734,161.3219409740454,0.93
0,10,0.164,0.907,23414.682247186305,97.17580397145933,0.913
0,11,0.273,0.874,1230.0946693806761,26.380269792555996,0.882
0,13,0.18,0.907,15053.231772806168,86.39197046322802,0.906
0,20,0.323,0.858,259.8588049776527,11.837025454232919,0.859
0,22,0.159,0.916,24394.762569952538,105.39951754026919,0.924
0,24,0.162,0.973,27293.80625608491,102.5958793762758,0.99
0,26,0.224,0.928,8825.731083968245,62.11395888825842,0.934
0,27,0.174,0.908,18476.03531728219,83.21452298973588,0.921
0,28,0.325,0.843,330.34245863526706,13.830234973829546,0.85
0,29,0.154,0.972,498517.60860281205,358.277052601581,0.986
0,32,0.16,1.007,275097.6740814364,265.20978254176043,1.015
0,33,0.151,0.908,37414.918436724045,122.28161001829673,0.916
0,34,0.281,0.854,627.6438521314714,18.646215734163924,0.857
0,39,0.164,0.949,4015.078370160789,39.14886714522825,0.948
0,41,0.245,0.87,1561.5888472850747,29.037955540322194,0.876
0,51,0.134,0.948,1179762.6856991383,584.4514433089172,0.953
0,54,0.122,0.908,26233.353895416465,107.82592643781632,0.922
