epoch,model_id,Training_MAE,Training_MASE,Training_MSE,Training_SMAPE,Training_MAPE
0,2,635.4967191627177,1.116,1019422.0541210754,0.185,2.2331610310730976e+16
0,6,56.177262593807406,1.031,6137.574003381981,0.206,2453303969912264.0
0,10,109.50772534517083,1.038,27784.938270269096,0.196,2970752437248278.0
0,11,30.886691204471497,0.979,1787.3024340791828,0.314,433652147023350.94
0,13,95.27333255083953,1.031,17783.853022899057,0.206,3259788877505757.0
0,20,13.341081164930513,0.971,328.2975073368746,0.382,509757377251269.44
0,22,129.87348725662102,1.074,45576.08822437685,0.189,3655765918718536.5
0,24,107.67709405644811,1.056,30129.581791827142,0.181,4139682392354129.0
0,26,73.20810471449082,1.077,12345.487040049562,0.269,1467442613287877.2
0,27,97.15442932992582,1.047,23854.505479370007,0.212,3751452102661139.0
0,28,16.30494224148662,1.001,462.0696607110122,0.386,324929079579941.3
0,29,448.5942956264519,1.127,770626.1856279945,0.189,1.1622993736882126e+16
0,32,322.6890562536875,1.156,373842.16845340544,0.189,4968751688110794.0
0,33,155.63725844581757,1.095,61727.67133139831,0.19,4644400561407305.0
0,34,19.806001028507975,0.964,706.7070185182924,0.335,682699487573135.2
0,39,46.07877516266086,1.045,5440.353506336376,0.187,944471594718733.8
0,41,31.070822219370378,1.016,1809.4462065587315,0.294,1142238623149163.5
0,51,833.6909210726856,1.183,3208676.0225036065,0.178,2.480510071796008e+16
0,54,131.8454036339813,1.095,41178.9729239412,0.154,7192486057098841.0
