epoch,model_id,Training_MAE,Training_MASE,Training_MSE,Training_SMAPE,Training_MAPE
0,2,869.8300816992262,1.58,1866418.237604763,0.255,2.0021675490886988e+16
0,6,79.74337510129853,1.487,11569.945487070714,0.305,2485373862430558.0
0,9,299.0052445067548,1.574,286185.3919643638,0.259,5273664069327688.0
0,10,151.86941454585406,1.473,52068.98701563834,0.282,2810187773967002.0
0,11,45.34494421142354,1.422,3736.1208452642095,0.498,328463506048093.8
0,13,136.63807398506458,1.51,35540.032087974236,0.313,3054710606247249.5
0,20,23.51137961045809,1.527,2343.0888436288683,0.629,499994448095428.75
0,22,181.66477262706715,1.531,86157.90630220158,0.274,3627696944575586.0
0,24,149.1213719693381,1.502,55651.74713803381,0.262,4277324767648476.0
0,26,102.73021651265454,1.536,24482.131788817216,0.387,1306554835169074.8
0,27,137.31526644880407,1.523,45098.13375081693,0.312,4007254773786713.5
0,28,23.50244572761794,1.438,949.9334775367474,0.589,430652152374162.1
0,29,625.3384965757022,1.605,1520558.1312551694,0.257,1.0448789086840948e+16
0,32,419.9594545074111,1.534,682236.3661329424,0.251,4343017468858096.0
0,33,215.15008320669668,1.542,123414.29987292051,0.27,4963448535837824.0
0,34,28.459916591722187,1.412,1500.5047094807655,0.519,766414847445564.0
0,39,63.78476420335183,1.474,10060.622866048658,0.273,864953899259972.4
0,41,44.91905067984668,1.519,3734.286128648008,0.464,1138673487633384.0
0,51,1126.9736126390403,1.633,6334984.792548314,0.241,2.0226052783539132e+16
0,54,182.86235916439688,1.552,75632.30693652215,0.217,7164154026360035.0
