
_____Results dataset-12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030_____
training_error: 0.3283
validation_error: 0.23687
mean_squared_error_proper_scale_0: 57609.15625
mean_absolute_error_proper_scale_0: 217.082763671875
mean_absolute_percentage_error_proper_scale_0: 58.149658203125
mase_proper_scale_0: 1.707069993019104
smape_proper_scale_0: 0.83486
test_12532_MAE: 355.77536
test_12532_MASE: 2.79771
test_12532_MSE: 137147.45312
test_12532_MAPE: 100.06199
test_MASE_7_DAYS_0: 0.9990400075912476
mean_squared_error_proper_scale_1: 14.987500190734863
mean_absolute_error_proper_scale_1: 3.378649950027466
mean_absolute_percentage_error_proper_scale_1: 31.27142906188965
mase_proper_scale_1: 0.6990299820899963
smape_proper_scale_1: 0.29957
test_11694_MAE: 11.79562
test_11694_MASE: 2.44047
test_11694_MSE: 160.3381
test_11694_MAPE: 102.43995
test_MASE_7_DAYS_1: 0.9839299917221069
mean_squared_error_proper_scale_2: 10.777000427246094
mean_absolute_error_proper_scale_2: 2.828130006790161
mean_absolute_percentage_error_proper_scale_2: 931061504.0
mase_proper_scale_2: 0.8484399914741516
smape_proper_scale_2: 1.07814
test_11716_MAE: 3.26661
test_11716_MASE: 0.97998
test_11716_MSE: 20.55118
test_11716_MAPE: 113351688.0
test_MASE_7_DAYS_2: 0.9397799968719482
mean_squared_error_proper_scale_3: 2.1856799125671387
mean_absolute_error_proper_scale_3: 1.295549988746643
mean_absolute_percentage_error_proper_scale_3: 90.95462036132812
mase_proper_scale_3: 0.9716600179672241
smape_proper_scale_3: 0.62043
test_11950_MAE: 2.55203
test_11950_MASE: 1.91402
test_11950_MSE: 8.52928
test_11950_MAPE: 139.42378
test_MASE_7_DAYS_3: 0.8219599723815918
mean_squared_error_proper_scale_4: 40017.74609375
mean_absolute_error_proper_scale_4: 184.52259826660156
mean_absolute_percentage_error_proper_scale_4: 54.077850341796875
mase_proper_scale_4: 4.358799934387207
smape_proper_scale_4: 0.76486
test_11195_MAE: 324.13876
test_11195_MASE: 7.65682
test_11195_MSE: 110040.69531
test_11195_MAPE: 100.04429
test_MASE_7_DAYS_4: 0.9991700053215027
mean_squared_error_proper_scale_5: 7.045569896697998
mean_absolute_error_proper_scale_5: 2.4312400817871094
mean_absolute_percentage_error_proper_scale_5: 634248448.0
mase_proper_scale_5: 2.0839200019836426
smape_proper_scale_5: 0.87086
test_11998_MAE: 2.11645
test_11998_MASE: 1.8141
test_11998_MSE: 5.47649
test_11998_MAPE: 34422620.0
test_MASE_7_DAYS_5: 0.7653800249099731
mean_squared_error_proper_scale_6: 44200.5234375
mean_absolute_error_proper_scale_6: 193.63839721679688
mean_absolute_percentage_error_proper_scale_6: 65.14608001708984
mase_proper_scale_6: 1.6573899984359741
smape_proper_scale_6: 0.98
test_274_MAE: 286.43564
test_274_MASE: 2.45166
test_274_MSE: 88553.25
test_274_MAPE: 100.05611
test_MASE_7_DAYS_6: 0.9987800121307373
mean_squared_error_proper_scale_7: 45.1444091796875
mean_absolute_error_proper_scale_7: 6.573269844055176
mean_absolute_percentage_error_proper_scale_7: 264.89727783203125
mase_proper_scale_7: 4.382180213928223
smape_proper_scale_7: 0.97057
test_11407_MAE: 4.28712
test_11407_MASE: 2.85808
test_11407_MSE: 20.29692
test_11407_MAPE: 120.48043
test_MASE_7_DAYS_7: 0.9752500057220459
mean_squared_error_proper_scale_8: 772.6405639648438
mean_absolute_error_proper_scale_8: 15.098910331726074
mean_absolute_percentage_error_proper_scale_8: 65.44561767578125
mase_proper_scale_8: 0.656470000743866
smape_proper_scale_8: 0.68057
test_46_MAE: 21.91008
test_46_MASE: 0.95261
test_46_MSE: 1101.63074
test_46_MAPE: 109.24363
test_MASE_7_DAYS_8: 0.9793499708175659
mean_squared_error_proper_scale_9: 2167.252197265625
mean_absolute_error_proper_scale_9: 40.224891662597656
mean_absolute_percentage_error_proper_scale_9: 40.08768844604492
mase_proper_scale_9: 1.1830899715423584
smape_proper_scale_9: 0.51557
test_11326_MAE: 91.58522
test_11326_MASE: 2.69368
test_11326_MSE: 9089.0918
test_11326_MAPE: 100.36249
test_MASE_7_DAYS_9: 0.99795001745224
mean_squared_error_proper_scale_10: 115.98023986816406
mean_absolute_error_proper_scale_10: 7.849130153656006
mean_absolute_percentage_error_proper_scale_10: 24.669830322265625
mase_proper_scale_10: 0.9234300255775452
smape_proper_scale_10: 0.29057
test_11335_MAE: 27.63171
test_11335_MASE: 3.25079
test_11335_MSE: 844.92816
test_11335_MAPE: 103.21666
test_MASE_7_DAYS_10: 0.9799000024795532
mean_squared_error_proper_scale_11: 24917.658203125
mean_absolute_error_proper_scale_11: 141.61318969726562
mean_absolute_percentage_error_proper_scale_11: 45.42626190185547
