epoch,model_id,Training_MAE,Training_MASE,Training_MSE,Training_SMAPE,Training_MAPE
0,12532,61.17237055352888,0.982,17897.951505139772,0.566,561779251900849.8
0,11694,18.876988335898957,1.111,12232.91619829642,0.594,1067426861044900.8
0,11716,4.142710516637407,0.841,54.2208431724079,0.917,1485812025845709.8
0,11950,3.2886137953942676,0.781,23.527233636164308,0.792,1887885260897629.2
0,11195,77.06106179548135,1.011,56780.35754171323,0.544,381739718523204.25
0,11998,4.761417170059789,0.831,104.01503716178942,0.81,2220129824780122.5
0,274,47.2152946015965,1.018,12330.420484917146,0.519,95099936121766.31
0,11407,23.433835112004825,1.028,3940.937128870281,0.538,709898769804113.8
0,46,10.798065602433473,0.862,574.5528860308988,0.434,364097834133030.06
0,11326,38.13868681369098,0.971,16311.245997927565,0.447,189272215732734.06
0,11335,20.948616104331464,0.882,3924.9710827927893,0.359,841422658451470.4
0,12197,19.46350099630358,0.925,1380.766748765055,0.605,1074596635907391.0
0,11693,27.789425388426586,0.898,1878.6287513186376,0.329,276446658103717.72
0,11780,9.945412135795163,0.909,389.09176461925017,0.77,1858186689222648.5
0,12502,7.191964829012251,0.888,149.187645505199,0.517,606429320387749.9
0,11866,12.312103797276398,0.904,625.2874711835184,0.797,1993911456372382.2
0,11400,46.64825236904851,0.882,7613.20009923452,0.357,980273839550266.2
0,12256,77.74999730618406,0.846,33464.92431804667,0.238,615408963507347.2
0,10320,36.15355137412052,0.951,13033.540930046194,0.625,378102662993141.5
0,10030,8.87197610022866,0.873,263.88988402192047,0.614,1029854851922066.0
