
_____Results dataset-2,6,9,10,11,13,20,22,24,26,27,28,29,32,33,34,39,41,51,54_____
training_error: 0.0422
validation_error: 0.034
test_2_MAE: 0.00829
test_2_MASE: 0.81925
test_2_MSE: 0.0001
test_2_SMAPE: 0.0475
test_2_MAPE: 4.90271
test_MASE_7_DAYS_0: 1.31946
test_6_MAE: 0.0554
test_6_MASE: 0.88888
test_6_MSE: 0.00342
test_6_SMAPE: 0.19174
test_6_MAPE: 17.86082
test_MASE_7_DAYS_1: 1.59366
test_9_MAE: 0.01804
test_9_MASE: 1.06644
test_9_MSE: 0.00051
test_9_SMAPE: 0.0913
test_9_MAPE: 8.54176
test_MASE_7_DAYS_2: 0.9273
test_10_MAE: 0.01457
test_10_MASE: 0.54223
test_10_MSE: 0.00028
test_10_SMAPE: 0.06947
test_10_MAPE: 7.11991
test_MASE_7_DAYS_3: 0.99593
test_11_MAE: 0.12693
test_11_MASE: 3.69432
test_11_MSE: 0.01728
test_11_SMAPE: 0.43752
test_11_MAPE: 57.63704
test_MASE_7_DAYS_4: 1.28674
test_13_MAE: 0.01674
test_13_MASE: 0.83405
test_13_MSE: 0.00035
test_13_SMAPE: 0.07142
test_13_MAPE: 6.895
test_MASE_7_DAYS_5: 1.49532
test_20_MAE: 0.04139
test_20_MASE: 1.75622
test_20_MSE: 0.00204
test_20_SMAPE: 0.25981
test_20_MAPE: 30.90143
test_MASE_7_DAYS_6: 1.57381
test_22_MAE: 0.01301
test_22_MASE: 0.665
test_22_MSE: 0.00021
test_22_SMAPE: 0.06771
test_22_MAPE: 6.72588
test_MASE_7_DAYS_7: 0.83035
test_24_MAE: 0.03928
test_24_MASE: 3.01018
test_24_MSE: 0.00183
test_24_SMAPE: 0.15616
test_24_MAPE: 14.3261
test_MASE_7_DAYS_8: 2.73008
test_26_MAE: 0.01515
test_26_MASE: 0.85186
test_26_MSE: 0.00031
test_26_SMAPE: 0.07596
test_26_MAPE: 7.82708
test_MASE_7_DAYS_9: 0.32971
test_27_MAE: 0.02462
test_27_MASE: 2.09847
test_27_MSE: 0.00074
test_27_SMAPE: 0.11932
test_27_MAPE: 11.16422
test_MASE_7_DAYS_10: 0.75819
test_28_MAE: 0.03892
test_28_MASE: 0.63841
test_28_MSE: 0.00278
test_28_SMAPE: 0.14808
test_28_MAPE: 17.41924
test_MASE_7_DAYS_11: 0.63409
test_29_MAE: 0.01373
test_29_MASE: 1.82228
test_29_MSE: 0.00021
test_29_SMAPE: 0.07542
test_29_MAPE: 7.4202
test_MASE_7_DAYS_12: 1.12063
test_32_MAE: 0.02621
test_32_MASE: 2.1821
test_32_MSE: 0.00075
test_32_SMAPE: 0.14906
test_32_MAPE: 16.26024
test_MASE_7_DAYS_13: 1.1155
test_33_MAE: 0.0123
test_33_MASE: 0.92797
test_33_MSE: 0.00017
test_33_SMAPE: 0.06564
test_33_MAPE: 6.5973
test_MASE_7_DAYS_14: 0.75868
test_34_MAE: 0.04057
test_34_MASE: 0.73107
test_34_MSE: 0.00417
test_34_SMAPE: 0.15456
test_34_MAPE: 13.81872
test_MASE_7_DAYS_15: 0.6691
test_39_MAE: 0.07601
test_39_MASE: 1.54111
test_39_MSE: 0.00807
test_39_SMAPE: 0.2952
test_39_MAPE: 24.72543
test_MASE_7_DAYS_16: 1.0749
test_41_MAE: 0.03206
test_41_MASE: 0.65232
test_41_MSE: 0.00139
test_41_SMAPE: 0.14731
test_41_MAPE: 14.26992
test_MASE_7_DAYS_17: 1.3892
test_51_MAE: 0.01203
test_51_MASE: 1.78419
test_51_MSE: 0.0002
test_51_SMAPE: 0.07389
test_51_MAPE: 7.78806
test_MASE_7_DAYS_18: 1.19504
test_54_MAE: 0.02769
test_54_MASE: 3.88314
test_54_MSE: 0.00095
test_54_SMAPE: 0.10128
test_54_MAPE: 9.52731
test_MASE_7_DAYS_19: 1.80767
test_None_MAE: 0.03143
test_None_MASE: 1.36976
test_None_MSE: 0.00231
test_None_SMAPE: 0.132
test_None_MAPE: 14.0494
test_MASE_7_DAYS: 1.02577
