
_____Results dataset-2,6,9,10,11,13,20,22,24,26,27,28,29,32,33,34,39,41,51,54_____
training_error: 0.04166
validation_error: 0.02847
test_2_MAE: 0.00657
test_2_MASE: 0.64941
test_2_MSE: 6e-05
test_2_SMAPE: 0.03768
test_2_MAPE: 3.83106
test_MASE_7_DAYS_0: 1.04592
test_6_MAE: 0.05772
test_6_MASE: 0.92606
test_6_MSE: 0.00386
test_6_SMAPE: 0.1999
test_6_MAPE: 18.28022
test_MASE_7_DAYS_1: 1.66032
test_9_MAE: 0.0161
test_9_MASE: 0.95149
test_9_MSE: 0.00042
test_9_SMAPE: 0.08098
test_9_MAPE: 7.6157
test_MASE_7_DAYS_2: 0.82735
test_10_MAE: 0.01386
test_10_MASE: 0.51585
test_10_MSE: 0.00025
test_10_SMAPE: 0.06628
test_10_MAPE: 6.64557
test_MASE_7_DAYS_3: 0.94748
test_11_MAE: 0.09712
test_11_MASE: 2.82672
test_11_MSE: 0.01046
test_11_SMAPE: 0.35604
test_11_MAPE: 44.72974
test_MASE_7_DAYS_4: 0.98455
test_13_MAE: 0.01359
test_13_MASE: 0.67696
test_13_MSE: 0.00023
test_13_SMAPE: 0.05752
test_13_MAPE: 5.6155
test_MASE_7_DAYS_5: 1.21369
test_20_MAE: 0.02073
test_20_MASE: 0.87972
test_20_MSE: 0.00051
test_20_SMAPE: 0.14062
test_20_MAPE: 15.192
test_MASE_7_DAYS_6: 0.78834
test_22_MAE: 0.01349
test_22_MASE: 0.68955
test_22_MSE: 0.00023
test_22_SMAPE: 0.07009
test_22_MAPE: 6.87529
test_MASE_7_DAYS_7: 0.861
test_24_MAE: 0.03352
test_24_MASE: 2.56881
test_24_MSE: 0.00148
test_24_SMAPE: 0.13072
test_24_MAPE: 12.07394
test_MASE_7_DAYS_8: 2.32978
test_26_MAE: 0.01402
test_26_MASE: 0.78796
test_26_MSE: 0.00026
test_26_SMAPE: 0.07013
test_26_MAPE: 7.04269
test_MASE_7_DAYS_9: 0.30498
test_27_MAE: 0.02702
test_27_MASE: 2.30318
test_27_MSE: 0.0009
test_27_SMAPE: 0.13191
test_27_MAPE: 12.21788
test_MASE_7_DAYS_10: 0.83215
test_28_MAE: 0.03258
test_28_MASE: 0.5344
test_28_MSE: 0.0019
test_28_SMAPE: 0.12781
test_28_MAPE: 14.64101
test_MASE_7_DAYS_11: 0.53079
test_29_MAE: 0.01425
test_29_MASE: 1.89049
test_29_MSE: 0.00023
test_29_SMAPE: 0.07809
test_29_MAPE: 7.68851
test_MASE_7_DAYS_12: 1.16258
test_32_MAE: 0.02018
test_32_MASE: 1.67979
test_32_MSE: 0.00046
test_32_SMAPE: 0.11702
test_32_MAPE: 12.5582
test_MASE_7_DAYS_13: 0.85871
test_33_MAE: 0.01354
test_33_MASE: 1.02158
test_33_MSE: 0.00021
test_33_SMAPE: 0.07206
test_33_MAPE: 7.15491
test_MASE_7_DAYS_14: 0.83522
test_34_MAE: 0.03797
test_34_MASE: 0.68422
test_34_MSE: 0.00414
test_34_SMAPE: 0.14235
test_34_MAPE: 12.78042
test_MASE_7_DAYS_15: 0.62622
test_39_MAE: 0.07668
test_39_MASE: 1.55467
test_39_MSE: 0.00817
test_39_SMAPE: 0.29824
test_39_MAPE: 24.96082
test_MASE_7_DAYS_16: 1.08436
test_41_MAE: 0.03378
test_41_MASE: 0.68743
test_41_MSE: 0.0016
test_41_SMAPE: 0.15552
test_41_MAPE: 14.67764
test_MASE_7_DAYS_17: 1.46396
test_51_MAE: 0.00418
test_51_MASE: 0.61991
test_51_MSE: 3e-05
test_51_SMAPE: 0.02641
test_51_MAPE: 2.67967
test_MASE_7_DAYS_18: 0.41521
test_54_MAE: 0.03144
test_54_MASE: 4.40906
test_54_MSE: 0.00108
test_54_SMAPE: 0.11474
test_54_MAPE: 10.79716
test_MASE_7_DAYS_19: 2.05249
test_None_MAE: 0.02884
test_None_MASE: 1.3334
test_None_MSE: 0.00182
test_None_SMAPE: 0.12338
test_None_MAPE: 12.38708
test_MASE_7_DAYS: 0.94124
