
_____Results dataset-2,6,9,10,11,13,20,22,24,26,27,28,29,32,33,34,39,41,51,54_____
training_error: 0.04092
validation_error: 0.03232
test_2_MAE: 0.00805
test_2_MASE: 0.79603
test_2_MSE: 8e-05
test_2_SMAPE: 0.04611
test_2_MAPE: 4.68066
test_MASE_7_DAYS_0: 1.28206
test_6_MAE: 0.06069
test_6_MASE: 0.97369
test_6_MSE: 0.00428
test_6_SMAPE: 0.21101
test_6_MAPE: 19.16907
test_MASE_7_DAYS_1: 1.74572
test_9_MAE: 0.016
test_9_MASE: 0.9458
test_9_MSE: 0.00041
test_9_SMAPE: 0.08025
test_9_MAPE: 7.55622
test_MASE_7_DAYS_2: 0.82241
test_10_MAE: 0.01438
test_10_MASE: 0.5353
test_10_MSE: 0.00029
test_10_SMAPE: 0.06895
test_10_MAPE: 7.00282
test_MASE_7_DAYS_3: 0.9832
test_11_MAE: 0.10715
test_11_MASE: 3.11878
test_11_MSE: 0.01233
test_11_SMAPE: 0.38266
test_11_MAPE: 48.4938
test_MASE_7_DAYS_4: 1.08627
test_13_MAE: 0.01332
test_13_MASE: 0.66348
test_13_MSE: 0.00023
test_13_SMAPE: 0.05608
test_13_MAPE: 5.45068
test_MASE_7_DAYS_5: 1.18952
test_20_MAE: 0.02414
test_20_MASE: 1.0244
test_20_MSE: 0.00069
test_20_SMAPE: 0.16208
test_20_MAPE: 17.82184
test_MASE_7_DAYS_6: 0.918
test_22_MAE: 0.01215
test_22_MASE: 0.62119
test_22_MSE: 0.00021
test_22_SMAPE: 0.06312
test_22_MAPE: 6.24524
test_MASE_7_DAYS_7: 0.77565
test_24_MAE: 0.03635
test_24_MASE: 2.78574
test_24_MSE: 0.00164
test_24_SMAPE: 0.14268
test_24_MAPE: 13.15257
test_MASE_7_DAYS_8: 2.52653
test_26_MAE: 0.01788
test_26_MASE: 1.00508
test_26_MSE: 0.00041
test_26_SMAPE: 0.08936
test_26_MAPE: 9.03362
test_MASE_7_DAYS_9: 0.38901
test_27_MAE: 0.02688
test_27_MASE: 2.29192
test_27_MSE: 0.00084
test_27_SMAPE: 0.13101
test_27_MAPE: 12.19578
test_MASE_7_DAYS_10: 0.82808
test_28_MAE: 0.0326
test_28_MASE: 0.53471
test_28_MSE: 0.00186
test_28_SMAPE: 0.12686
test_28_MAPE: 14.43039
test_MASE_7_DAYS_11: 0.5311
test_29_MAE: 0.01343
test_29_MASE: 1.78231
test_29_MSE: 0.00022
test_29_SMAPE: 0.07364
test_29_MAPE: 7.15966
test_MASE_7_DAYS_12: 1.09605
test_32_MAE: 0.02108
test_32_MASE: 1.75481
test_32_MSE: 0.00053
test_32_SMAPE: 0.12206
test_32_MAPE: 13.18932
test_MASE_7_DAYS_13: 0.89707
test_33_MAE: 0.01162
test_33_MASE: 0.87629
test_33_MSE: 0.00016
test_33_SMAPE: 0.06189
test_33_MAPE: 6.17533
test_MASE_7_DAYS_14: 0.71643
test_34_MAE: 0.03887
test_34_MASE: 0.7006
test_34_MSE: 0.00427
test_34_SMAPE: 0.14595
test_34_MAPE: 12.93474
test_MASE_7_DAYS_15: 0.64121
test_39_MAE: 0.07662
test_39_MASE: 1.55341
test_39_MSE: 0.00831
test_39_SMAPE: 0.29751
test_39_MAPE: 24.81415
test_MASE_7_DAYS_16: 1.08348
test_41_MAE: 0.03197
test_41_MASE: 0.65057
test_41_MSE: 0.00147
test_41_SMAPE: 0.14644
test_41_MAPE: 13.97316
test_MASE_7_DAYS_17: 1.38548
test_51_MAE: 0.00641
test_51_MASE: 0.95073
test_51_MSE: 5e-05
test_51_SMAPE: 0.04029
test_51_MAPE: 4.05549
test_MASE_7_DAYS_18: 0.63679
test_54_MAE: 0.03272
test_54_MASE: 4.58943
test_54_MSE: 0.00113
test_54_SMAPE: 0.11958
test_54_MAPE: 11.24752
test_MASE_7_DAYS_19: 2.13646
test_None_MAE: 0.02969
test_None_MASE: 1.36144
test_None_MSE: 0.00196
test_None_SMAPE: 0.12606
test_None_MAPE: 12.72447
test_MASE_7_DAYS: 0.96871
