
_____Results dataset-12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030_____
training_error: 0.06661
validation_error: 0.04379
test_12532_MAE: 0.1402
test_12532_MASE: 1.8417
test_12532_MSE: 0.02331
test_12532_SMAPE: 0.16641
test_12532_MAPE: 18.56407
test_MASE_7_DAYS_0: 1.02979
test_11694_MAE: 0.01935
test_11694_MASE: 7.52025
test_11694_MSE: 0.0004
test_11694_SMAPE: 0.01967
test_11694_MAPE: 1.94684
test_MASE_7_DAYS_1: 4.62611
test_11716_MAE: 0.05
test_11716_MASE: 0.90747
test_11716_MSE: 0.00305
test_11716_SMAPE: 0.05315
test_11716_MAPE: 5.36137
test_MASE_7_DAYS_2: 0.88227
test_11950_MAE: 0.04663
test_11950_MASE: 0.89177
test_11950_MSE: 0.0029
test_11950_SMAPE: 0.05148
test_11950_MAPE: 5.21058
test_MASE_7_DAYS_3: 0.4896
test_11195_MAE: 0.02535
test_11195_MASE: 3.19694
test_11195_MSE: 0.00078
test_11195_SMAPE: 0.02673
test_11195_MAPE: 2.71651
test_MASE_7_DAYS_4: 0.58156
test_11998_MAE: 0.03288
test_11998_MASE: 2.78974
test_11998_MSE: 0.00115
test_11998_SMAPE: 0.03403
test_11998_MAPE: 3.34308
test_MASE_7_DAYS_5: 0.99056
test_274_MAE: 0.0772
test_274_MASE: 1.54487
test_274_MSE: 0.00731
test_274_SMAPE: 0.085
test_274_MAPE: 8.98022
test_MASE_7_DAYS_6: 0.88476
test_11407_MAE: 0.02408
test_11407_MASE: 11.20555
test_11407_MSE: 0.00061
test_11407_SMAPE: 0.02451
test_11407_MAPE: 2.4201
test_MASE_7_DAYS_7: 2.94146
test_46_MAE: 0.05634
test_46_MASE: 0.64175
test_46_MSE: 0.01007
test_46_SMAPE: 0.06522
test_46_MAPE: 7.36529
test_MASE_7_DAYS_8: 0.89845
test_11326_MAE: 0.0149
test_11326_MASE: 0.75187
test_11326_MSE: 0.00031
test_11326_SMAPE: 0.01571
test_11326_MAPE: 1.58743
test_MASE_7_DAYS_9: 0.65308
test_11335_MAE: 0.00634
test_11335_MASE: 0.58408
test_11335_MSE: 6e-05
test_11335_SMAPE: 0.00658
test_11335_MAPE: 0.65855
test_MASE_7_DAYS_10: 0.39048
test_12197_MAE: 0.47229
test_12197_MASE: 2.4473
test_12197_MSE: 0.24883
test_12197_SMAPE: 0.97299
test_12197_MAPE: 427.61893
test_MASE_7_DAYS_11: 1.17742
test_11693_MAE: 0.10529
test_11693_MASE: 1.88478
test_11693_MSE: 0.01236
test_11693_SMAPE: 0.14058
test_11693_MAPE: 15.27849
test_MASE_7_DAYS_12: 1.24331
test_11780_MAE: 0.02019
test_11780_MASE: 5.05063
test_11780_MSE: 0.00042
test_11780_SMAPE: 0.02047
test_11780_MAPE: 2.02543
test_MASE_7_DAYS_13: 4.91033
test_12502_MAE: 0.06829
test_12502_MASE: 1.65599
test_12502_MSE: 0.0061
test_12502_SMAPE: 0.07609
test_12502_MAPE: 8.01582
test_MASE_7_DAYS_14: 1.00799
test_11866_MAE: 0.02079
test_11866_MASE: 1.49434
test_11866_MSE: 0.00055
test_11866_SMAPE: 0.02125
test_11866_MAPE: 2.09998
test_MASE_7_DAYS_15: 1.37358
test_11400_MAE: 0.03885
test_11400_MASE: 1.70471
test_11400_MSE: 0.00196
test_11400_SMAPE: 0.04329
test_11400_MAPE: 4.21202
test_MASE_7_DAYS_16: 0.50448
test_12256_MAE: 0.21502
test_12256_MASE: 2.70326
test_12256_MSE: 0.05336
test_12256_SMAPE: 0.35289
test_12256_MAPE: 45.87865
test_MASE_7_DAYS_17: 1.26392
test_10320_MAE: 0.01848
test_10320_MASE: 8.36232
test_10320_MSE: 0.00038
test_10320_SMAPE: 0.0188
test_10320_MAPE: 1.86037
test_MASE_7_DAYS_18: 3.11653
test_10030_MAE: 0.03672
test_10030_MASE: 1.3488
test_10030_MSE: 0.00185
test_10030_SMAPE: 0.04036
test_10030_MAPE: 4.118
test_MASE_7_DAYS_19: 0.52453
test_None_MAE: 0.07691
test_None_MASE: 2.02057
test_None_MSE: 0.02142
test_None_SMAPE: 0.11442
test_None_MAPE: 29.66741
test_MASE_7_DAYS: 1.05206
