
_____Results dataset-12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030_____
training_error: 0.02716
validation_error: 0.01815
test_12532_MAE: 0.06592
test_12532_MASE: 1.92422
test_12532_MSE: 0.00514
test_12532_SMAPE: 0.39385
test_12532_MAPE: 32.40442
test_MASE_7_DAYS_0: 1.07593
test_11694_MAE: 0.00198
test_11694_MASE: 1.70905
test_11694_MSE: 1e-05
test_11694_SMAPE: 0.01915
test_11694_MAPE: 1.93231
test_MASE_7_DAYS_1: 1.05132
test_11716_MAE: 0.01939
test_11716_MASE: 0.78196
test_11716_MSE: 0.00061
test_11716_SMAPE: 0.1548
test_11716_MAPE: 15.1451
test_MASE_7_DAYS_2: 0.76024
test_11950_MAE: 0.02036
test_11950_MASE: 0.86516
test_11950_MSE: 0.00057
test_11950_SMAPE: 0.14556
test_11950_MAPE: 14.64199
test_MASE_7_DAYS_3: 0.47499
test_11195_MAE: 0.01731
test_11195_MASE: 4.84969
test_11195_MSE: 0.00035
test_11195_SMAPE: 0.14475
test_11195_MAPE: 13.37058
test_MASE_7_DAYS_4: 0.88221
test_11998_MAE: 0.00999
test_11998_MASE: 1.8843
test_11998_MSE: 0.00012
test_11998_SMAPE: 0.08882
test_11998_MAPE: 9.38224
test_MASE_7_DAYS_5: 0.66906
test_274_MAE: 0.04037
test_274_MASE: 1.79539
test_274_MSE: 0.0019
test_274_SMAPE: 0.2938
test_274_MAPE: 25.27944
test_MASE_7_DAYS_6: 1.02824
test_11407_MAE: 0.00377
test_11407_MASE: 3.89756
test_11407_MSE: 2e-05
test_11407_SMAPE: 0.03605
test_11407_MAPE: 3.69133
test_MASE_7_DAYS_7: 1.02311
test_46_MAE: 0.02624
test_46_MASE: 0.66413
test_46_MSE: 0.00235
test_46_SMAPE: 0.17144
test_46_MAPE: 14.05202
test_MASE_7_DAYS_8: 0.92978
test_11326_MAE: 0.01149
test_11326_MASE: 1.28821
test_11326_MSE: 0.00018
test_11326_SMAPE: 0.09566
test_11326_MAPE: 8.99704
test_MASE_7_DAYS_9: 1.11895
test_11335_MAE: 0.00617
test_11335_MASE: 1.26165
test_11335_MSE: 5e-05
test_11335_SMAPE: 0.05401
test_11335_MAPE: 5.20921
test_MASE_7_DAYS_10: 0.84346
test_12197_MAE: 0.20197
test_12197_MASE: 2.32575
test_12197_MSE: 0.04615
test_12197_SMAPE: 0.6084
test_12197_MAPE: 46.16395
test_MASE_7_DAYS_11: 1.11894
test_11693_MAE: 0.04226
test_11693_MASE: 1.68093
test_11693_MSE: 0.00204
test_11693_SMAPE: 0.19633
test_11693_MAPE: 17.69159
test_MASE_7_DAYS_12: 1.10884
test_11780_MAE: 0.00237
test_11780_MASE: 1.32013
test_11780_MSE: 1e-05
test_11780_SMAPE: 0.02331
test_11780_MAPE: 2.3541
test_MASE_7_DAYS_13: 1.28346
test_12502_MAE: 0.0348
test_12502_MASE: 1.87532
test_12502_MSE: 0.00149
test_12502_SMAPE: 0.24297
test_12502_MAPE: 21.27111
test_MASE_7_DAYS_14: 1.1415
test_11866_MAE: 0.00592
test_11866_MASE: 0.94509
test_11866_MSE: 5e-05
test_11866_SMAPE: 0.05516
test_11866_MAPE: 5.52397
test_MASE_7_DAYS_15: 0.86872
test_11400_MAE: 0.01969
test_11400_MASE: 1.91965
test_11400_MSE: 0.00047
test_11400_SMAPE: 0.13353
test_11400_MAPE: 14.54944
test_MASE_7_DAYS_16: 0.56809
test_12256_MAE: 0.08718
test_12256_MASE: 2.43554
test_12256_MSE: 0.00893
test_12256_SMAPE: 0.31441
test_12256_MAPE: 26.81124
test_MASE_7_DAYS_17: 1.13875
test_10320_MAE: 0.00215
test_10320_MASE: 2.15838
test_10320_MSE: 1e-05
test_10320_SMAPE: 0.02073
test_10320_MAPE: 2.08849
test_MASE_7_DAYS_18: 0.8044
test_10030_MAE: 0.01526
test_10030_MASE: 1.24545
test_10030_MSE: 0.00036
test_10030_SMAPE: 0.10867
test_10030_MAPE: 10.30693
test_MASE_7_DAYS_19: 0.48434
test_None_MAE: 0.03177
test_None_MASE: 1.81343
test_None_MSE: 0.00357
test_None_SMAPE: 0.16529
test_None_MAPE: 14.51473
test_MASE_7_DAYS: 0.96575
