
_____Results dataset-2,6,9,10,11,13,20,22,24,26,27,28,29,32,33,34,39,41,51,54_____
training_error: 0.04301
validation_error: 0.03258
test_2_MAE: 0.01369
test_2_MASE: 1.35328
test_2_MSE: 0.00024
test_2_SMAPE: 0.07698
test_2_MAPE: 8.10592
test_MASE_7_DAYS_0: 2.17955
test_6_MAE: 0.06212
test_6_MASE: 0.99664
test_6_MSE: 0.0044
test_6_SMAPE: 0.21729
test_6_MAPE: 19.6817
test_MASE_7_DAYS_1: 1.78687
test_9_MAE: 0.01156
test_9_MASE: 0.68295
test_9_MSE: 0.00028
test_9_SMAPE: 0.05693
test_9_MAPE: 5.38228
test_MASE_7_DAYS_2: 0.59385
test_10_MAE: 0.01588
test_10_MASE: 0.59102
test_10_MSE: 0.00033
test_10_SMAPE: 0.07561
test_10_MAPE: 7.82156
test_MASE_7_DAYS_3: 1.08554
test_11_MAE: 0.10217
test_11_MASE: 2.97363
test_11_MSE: 0.01156
test_11_SMAPE: 0.36618
test_11_MAPE: 46.16947
test_MASE_7_DAYS_4: 1.03572
test_13_MAE: 0.01689
test_13_MASE: 0.84158
test_13_MSE: 0.00035
test_13_SMAPE: 0.07192
test_13_MAPE: 6.93181
test_MASE_7_DAYS_5: 1.50882
test_20_MAE: 0.03895
test_20_MASE: 1.65269
test_20_MSE: 0.00183
test_20_SMAPE: 0.24677
test_20_MAPE: 29.13519
test_MASE_7_DAYS_6: 1.48103
test_22_MAE: 0.013
test_22_MASE: 0.66491
test_22_MSE: 0.00021
test_22_SMAPE: 0.06778
test_22_MAPE: 6.92592
test_MASE_7_DAYS_7: 0.83024
test_24_MAE: 0.04077
test_24_MASE: 3.12476
test_24_MSE: 0.00196
test_24_SMAPE: 0.16228
test_24_MAPE: 14.85738
test_MASE_7_DAYS_8: 2.83399
test_26_MAE: 0.01619
test_26_MASE: 0.91012
test_26_MSE: 0.00037
test_26_SMAPE: 0.081
test_26_MAPE: 8.41111
test_MASE_7_DAYS_9: 0.35226
test_27_MAE: 0.0204
test_27_MASE: 1.7391
test_27_MSE: 0.00052
test_27_SMAPE: 0.09778
test_27_MAPE: 9.26447
test_MASE_7_DAYS_10: 0.62834
test_28_MAE: 0.03424
test_28_MASE: 0.56159
test_28_MSE: 0.00196
test_28_SMAPE: 0.13309
test_28_MAPE: 15.06721
test_MASE_7_DAYS_11: 0.55779
test_29_MAE: 0.0124
test_29_MASE: 1.64586
test_29_MSE: 0.00018
test_29_SMAPE: 0.06818
test_29_MAPE: 6.96752
test_MASE_7_DAYS_12: 1.01213
test_32_MAE: 0.03102
test_32_MASE: 2.58217
test_32_MSE: 0.00105
test_32_SMAPE: 0.17383
test_32_MAPE: 19.24097
test_MASE_7_DAYS_13: 1.32002
test_33_MAE: 0.01083
test_33_MASE: 0.81728
test_33_MSE: 0.00018
test_33_SMAPE: 0.05811
test_33_MAPE: 6.03407
test_MASE_7_DAYS_14: 0.66819
test_34_MAE: 0.04126
test_34_MASE: 0.74363
test_34_MSE: 0.00423
test_34_SMAPE: 0.15731
test_34_MAPE: 14.10936
test_MASE_7_DAYS_15: 0.68059
test_39_MAE: 0.0752
test_39_MASE: 1.52464
test_39_MSE: 0.0079
test_39_SMAPE: 0.29115
test_39_MAPE: 24.45404
test_MASE_7_DAYS_16: 1.06341
test_41_MAE: 0.03052
test_41_MASE: 0.62106
test_41_MSE: 0.00136
test_41_SMAPE: 0.13976
test_41_MAPE: 13.77745
test_MASE_7_DAYS_17: 1.32263
test_51_MAE: 0.02089
test_51_MASE: 3.09652
test_51_MSE: 0.00048
test_51_SMAPE: 0.12413
test_51_MAPE: 13.34805
test_MASE_7_DAYS_18: 2.07403
test_54_MAE: 0.03501
test_54_MASE: 4.91021
test_54_MSE: 0.00138
test_54_SMAPE: 0.12917
test_54_MAPE: 12.03728
test_MASE_7_DAYS_19: 2.28579
test_None_MAE: 0.03037
test_None_MASE: 1.38167
test_None_MSE: 0.00198
test_None_SMAPE: 0.13155
test_None_MAPE: 13.65893
test_MASE_7_DAYS: 0.99093
