
_____Results dataset-12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030_____
training_error: 0.06894
validation_error: 0.04513
test_12532_MAE: 0.125
test_12532_MASE: 1.64202
test_12532_MSE: 0.01924
test_12532_SMAPE: 0.15
test_12532_MAPE: 16.61781
test_MASE_7_DAYS_0: 0.91814
test_11694_MAE: 0.04127
test_11694_MASE: 16.03471
test_11694_MSE: 0.00175
test_11694_SMAPE: 0.04242
test_11694_MAPE: 4.15145
test_MASE_7_DAYS_1: 9.86381
test_11716_MAE: 0.05464
test_11716_MASE: 0.99168
test_11716_MSE: 0.00348
test_11716_SMAPE: 0.05814
test_11716_MAPE: 5.73917
test_MASE_7_DAYS_2: 0.96413
test_11950_MAE: 0.05101
test_11950_MASE: 0.97549
test_11950_MSE: 0.00323
test_11950_SMAPE: 0.05628
test_11950_MAPE: 5.60447
test_MASE_7_DAYS_3: 0.53556
test_11195_MAE: 0.01468
test_11195_MASE: 1.85113
test_11195_MSE: 0.00028
test_11195_SMAPE: 0.0156
test_11195_MAPE: 1.56447
test_MASE_7_DAYS_4: 0.33674
test_11998_MAE: 0.05047
test_11998_MASE: 4.28287
test_11998_MSE: 0.00262
test_11998_SMAPE: 0.05276
test_11998_MAPE: 5.13688
test_MASE_7_DAYS_5: 1.52073
test_274_MAE: 0.05806
test_274_MASE: 1.16195
test_274_MSE: 0.00487
test_274_SMAPE: 0.06478
test_274_MAPE: 6.8046
test_MASE_7_DAYS_6: 0.66547
test_11407_MAE: 0.04515
test_11407_MASE: 21.01139
test_11407_MSE: 0.00206
test_11407_SMAPE: 0.04646
test_11407_MAPE: 4.53983
test_MASE_7_DAYS_7: 5.51549
test_46_MAE: 0.06418
test_46_MASE: 0.73105
test_46_MSE: 0.00944
test_46_SMAPE: 0.07354
test_46_MAPE: 8.0591
test_MASE_7_DAYS_8: 1.02348
test_11326_MAE: 0.01635
test_11326_MASE: 0.82511
test_11326_MSE: 0.00038
test_11326_SMAPE: 0.0173
test_11326_MAPE: 1.72182
test_MASE_7_DAYS_9: 0.7167
test_11335_MAE: 0.02112
test_11335_MASE: 1.9443
test_11335_MSE: 0.00057
test_11335_SMAPE: 0.02206
test_11335_MAPE: 2.17523
test_MASE_7_DAYS_10: 1.29984
test_12197_MAE: 0.46635
test_12197_MASE: 2.41655
test_12197_MSE: 0.24477
test_12197_SMAPE: 0.96614
test_12197_MAPE: 425.2453
test_MASE_7_DAYS_11: 1.16263
test_11693_MAE: 0.10591
test_11693_MASE: 1.89586
test_11693_MSE: 0.0123
test_11693_SMAPE: 0.14132
test_11693_MAPE: 15.34515
test_MASE_7_DAYS_12: 1.25061
test_11780_MAE: 0.04234
test_11780_MASE: 10.59341
test_11780_MSE: 0.00182
test_11780_SMAPE: 0.04342
test_11780_MAPE: 4.24834
test_MASE_7_DAYS_13: 10.29914
test_12502_MAE: 0.05264
test_12502_MASE: 1.27664
test_12502_MSE: 0.00395
test_12502_SMAPE: 0.05934
test_12502_MAPE: 6.20187
test_MASE_7_DAYS_14: 0.77709
test_11866_MAE: 0.03704
test_11866_MASE: 2.66259
test_11866_MSE: 0.00165
test_11866_SMAPE: 0.03824
test_11866_MAPE: 3.7387
test_MASE_7_DAYS_15: 2.44743
test_11400_MAE: 0.04532
test_11400_MASE: 1.98844
test_11400_MSE: 0.0024
test_11400_SMAPE: 0.05075
test_11400_MAPE: 4.9303
test_MASE_7_DAYS_16: 0.58845
test_12256_MAE: 0.20999
test_12256_MASE: 2.64002
test_12256_MSE: 0.05132
test_12256_SMAPE: 0.34634
test_12256_MAPE: 44.86925
test_MASE_7_DAYS_17: 1.23435
test_10320_MAE: 0.04017
test_10320_MASE: 18.17564
test_10320_MSE: 0.00165
test_10320_SMAPE: 0.04132
test_10320_MAPE: 4.04627
test_MASE_7_DAYS_18: 6.77382
test_10030_MAE: 0.03652
test_10030_MASE: 1.34111
test_10030_MSE: 0.00154
test_10030_SMAPE: 0.04016
test_10030_MAPE: 4.03114
test_MASE_7_DAYS_19: 0.52154
test_None_MAE: 0.0781
test_None_MASE: 2.93926
test_None_MSE: 0.02171
test_None_SMAPE: 0.11546
test_None_MAPE: 30.07427
test_MASE_7_DAYS: 1.06836
