
_____Results dataset-2,6,9,10,11,13,20,22,24,26,27,28,29,32,33,34,39,41,51,54_____
training_error: 0.04334
validation_error: 0.02963
test_2_MAE: 0.00881
test_2_MASE: 0.87125
test_2_MSE: 0.00011
test_2_SMAPE: 0.05037
test_2_MAPE: 5.20654
test_MASE_7_DAYS_0: 1.40321
test_6_MAE: 0.06096
test_6_MASE: 0.9781
test_6_MSE: 0.00432
test_6_SMAPE: 0.21224
test_6_MAPE: 19.19402
test_MASE_7_DAYS_1: 1.75363
test_9_MAE: 0.01383
test_9_MASE: 0.81738
test_9_MSE: 0.00035
test_9_SMAPE: 0.06883
test_9_MAPE: 6.49102
test_MASE_7_DAYS_2: 0.71074
test_10_MAE: 0.01294
test_10_MASE: 0.48157
test_10_MSE: 0.00025
test_10_SMAPE: 0.06204
test_10_MAPE: 6.14856
test_MASE_7_DAYS_3: 0.88452
test_11_MAE: 0.07733
test_11_MASE: 2.25064
test_11_MSE: 0.00711
test_11_SMAPE: 0.29644
test_11_MAPE: 36.18926
test_MASE_7_DAYS_4: 0.7839
test_13_MAE: 0.01591
test_13_MASE: 0.79261
test_13_MSE: 0.00031
test_13_SMAPE: 0.06754
test_13_MAPE: 6.5448
test_MASE_7_DAYS_5: 1.42102
test_20_MAE: 0.02316
test_20_MASE: 0.98262
test_20_MSE: 0.00063
test_20_SMAPE: 0.15594
test_20_MAPE: 17.11867
test_MASE_7_DAYS_6: 0.88056
test_22_MAE: 0.01382
test_22_MASE: 0.70665
test_22_MSE: 0.00023
test_22_SMAPE: 0.07195
test_22_MAPE: 7.12065
test_MASE_7_DAYS_7: 0.88236
test_24_MAE: 0.03442
test_24_MASE: 2.63787
test_24_MSE: 0.00159
test_24_SMAPE: 0.1345
test_24_MAPE: 12.37319
test_MASE_7_DAYS_8: 2.39242
test_26_MAE: 0.01361
test_26_MASE: 0.76519
test_26_MSE: 0.00026
test_26_SMAPE: 0.06808
test_26_MAPE: 6.84653
test_MASE_7_DAYS_9: 0.29616
test_27_MAE: 0.02575
test_27_MASE: 2.19554
test_27_MSE: 0.00081
test_27_SMAPE: 0.12524
test_27_MAPE: 11.65834
test_MASE_7_DAYS_10: 0.79325
test_28_MAE: 0.02892
test_28_MASE: 0.4744
test_28_MSE: 0.00157
test_28_SMAPE: 0.11561
test_28_MAPE: 12.96791
test_MASE_7_DAYS_11: 0.4712
test_29_MAE: 0.01356
test_29_MASE: 1.79936
test_29_MSE: 0.0002
test_29_SMAPE: 0.07438
test_29_MAPE: 7.50722
test_MASE_7_DAYS_12: 1.10653
test_32_MAE: 0.02266
test_32_MASE: 1.88639
test_32_MSE: 0.00057
test_32_SMAPE: 0.13039
test_32_MAPE: 14.08021
test_MASE_7_DAYS_13: 0.96433
test_33_MAE: 0.01334
test_33_MASE: 1.00664
test_33_MSE: 0.00021
test_33_SMAPE: 0.07108
test_33_MAPE: 7.1395
test_MASE_7_DAYS_14: 0.823
test_34_MAE: 0.03796
test_34_MASE: 0.68419
test_34_MSE: 0.00416
test_34_SMAPE: 0.14224
test_34_MAPE: 12.79601
test_MASE_7_DAYS_15: 0.62619
test_39_MAE: 0.0777
test_39_MASE: 1.57528
test_39_MSE: 0.00825
test_39_SMAPE: 0.30306
test_39_MAPE: 25.37224
test_MASE_7_DAYS_16: 1.09873
test_41_MAE: 0.03482
test_41_MASE: 0.70855
test_41_MSE: 0.00172
test_41_SMAPE: 0.16046
test_41_MAPE: 15.00701
test_MASE_7_DAYS_17: 1.50894
test_51_MAE: 0.00844
test_51_MASE: 1.25124
test_51_MSE: 0.0001
test_51_SMAPE: 0.0526
test_51_MAPE: 5.47168
test_MASE_7_DAYS_18: 0.83807
test_54_MAE: 0.03778
test_54_MASE: 5.29837
test_54_MSE: 0.00149
test_54_SMAPE: 0.13924
test_54_MAPE: 12.98214
test_MASE_7_DAYS_19: 2.46648
test_None_MAE: 0.0287
test_None_MASE: 1.4041
test_None_MSE: 0.00171
test_None_SMAPE: 0.12472
test_None_MAPE: 12.39932
test_MASE_7_DAYS: 0.93667
