
_____Results dataset-2,6,10,11,13,20,22,24,26,27,28,29,32,33,34,39,41,51,54_____
training_error: 0.04597
validation_error: 0.03441
test_2_MAE: 0.01495
test_2_MASE: 1.80925
test_2_MSE: 0.00034
test_2_SMAPE: 0.06605
test_2_MAPE: 6.29748
test_6_MAE: 0.0274
test_6_MASE: 0.81671
test_6_MSE: 0.00162
test_6_SMAPE: 0.09458
test_6_MAPE: 8.63587
test_10_MAE: 0.01224
test_10_MASE: 0.69525
test_10_MSE: 0.00024
test_10_SMAPE: 0.05292
test_10_MAPE: 5.52267
test_11_MAE: 0.03063
test_11_MASE: 0.65658
test_11_MSE: 0.00133
test_11_SMAPE: 0.10509
test_11_MAPE: 10.69671
test_13_MAE: 0.01072
test_13_MASE: 0.70533
test_13_MSE: 0.00015
test_13_SMAPE: 0.03592
test_13_MAPE: 3.67651
test_20_MAE: 0.09436
test_20_MASE: 0.7968
test_20_MSE: 0.01582
test_20_SMAPE: 0.30357
test_20_MAPE: 25.40512
test_22_MAE: 0.01945
test_22_MASE: 0.91879
test_22_MSE: 0.00054
test_22_SMAPE: 0.08231
test_22_MAPE: 8.04424
test_24_MAE: 0.02575
test_24_MASE: 1.55047
test_24_MSE: 0.00108
test_24_SMAPE: 0.09115
test_24_MAPE: 8.50327
test_26_MAE: 0.01909
test_26_MASE: 0.80779
test_26_MSE: 0.00053
test_26_SMAPE: 0.07746
test_26_MAPE: 7.86992
test_27_MAE: 0.00962
test_27_MASE: 0.81095
test_27_MSE: 0.00014
test_27_SMAPE: 0.04073
test_27_MAPE: 4.20132
test_28_MAE: 0.10218
test_28_MASE: 0.55866
test_28_MSE: 0.01678
test_28_SMAPE: 0.23077
test_28_MAPE: 24.24924
test_29_MAE: 0.01428
test_29_MASE: 1.55815
test_29_MSE: 0.00022
test_29_SMAPE: 0.06736
test_29_MAPE: 6.89762
test_32_MAE: 0.01865
test_32_MASE: 0.95836
test_32_MSE: 0.00054
test_32_SMAPE: 0.09041
test_32_MAPE: 9.62456
test_33_MAE: 0.01325
test_33_MASE: 0.81438
test_33_MSE: 0.00026
test_33_SMAPE: 0.05964
test_33_MAPE: 6.21957
test_34_MAE: 0.02864
test_34_MASE: 0.55924
test_34_MSE: 0.0011
test_34_SMAPE: 0.11273
test_34_MAPE: 11.65832
test_39_MAE: 0.01557
test_39_MASE: 0.65847
test_39_MSE: 0.00041
test_39_SMAPE: 0.06207
test_39_MAPE: 6.50293
test_41_MAE: 0.0416
test_41_MASE: 0.95426
test_41_MSE: 0.00184
test_41_SMAPE: 0.18353
test_41_MAPE: 19.94799
test_51_MAE: 0.01902
test_51_MASE: 3.34681
test_51_MSE: 0.00044
test_51_SMAPE: 0.10417
test_51_MAPE: 11.12008
test_54_MAE: 0.01032
test_54_MASE: 0.70221
test_54_MSE: 0.00021
test_54_SMAPE: 0.03708
test_54_MAPE: 3.8139
test_None_MAE: 0.02849
test_None_MASE: 1.06095
test_None_MSE: 0.00236
test_None_SMAPE: 0.10221
test_None_MAPE: 10.13057
test_MASE_7_DAYS: 0.65968
