
_____Results dataset-12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030_____
training_error: 0.02602
validation_error: 0.02378
test_12532_MAE: 0.00622
test_12532_MASE: 0.65637
test_12532_MSE: 7e-05
test_12532_SMAPE: 0.04923
test_12532_MAPE: 4.73016
test_11694_MAE: 0.00298
test_11694_MASE: 1.77672
test_11694_MSE: 1e-05
test_11694_SMAPE: 0.02832
test_11694_MAPE: 2.89428
test_11716_MAE: 0.01493
test_11716_MASE: 0.7528
test_11716_MSE: 0.00056
test_11716_SMAPE: 0.11952
test_11716_MAPE: 10.84846
test_11950_MAE: 0.02161
test_11950_MASE: 0.73483
test_11950_MSE: 0.00064
test_11950_SMAPE: 0.14526
test_11950_MAPE: 15.35269
test_11195_MAE: 0.00383
test_11195_MASE: 4.87238
test_11195_MSE: 2e-05
test_11195_SMAPE: 0.03614
test_11195_MAPE: 3.70311
test_11998_MAE: 0.0143
test_11998_MASE: 0.60888
test_11998_MSE: 0.00032
test_11998_SMAPE: 0.11697
test_11998_MAPE: 11.34474
test_274_MAE: 0.00357
test_274_MASE: 2.42177
test_274_MSE: 2e-05
test_274_SMAPE: 0.03343
test_274_MAPE: 3.41044
test_11407_MAE: 0.00956
test_11407_MASE: 1.32764
test_11407_MSE: 0.00013
test_11407_SMAPE: 0.07534
test_11407_MAPE: 7.98116
test_46_MAE: 0.03528
test_46_MASE: 0.70024
test_46_MSE: 0.00238
test_46_SMAPE: 0.19692
test_46_MAPE: 18.5985
test_11326_MAE: 0.00379
test_11326_MASE: 2.3399
test_11326_MSE: 2e-05
test_11326_SMAPE: 0.03541
test_11326_MAPE: 3.64704
test_11335_MAE: 0.00723
test_11335_MASE: 0.66193
test_11335_MSE: 7e-05
test_11335_SMAPE: 0.0617
test_11335_MAPE: 6.18586
test_12197_MAE: 0.00628
test_12197_MASE: 0.72776
test_12197_MSE: 5e-05
test_12197_SMAPE: 0.05776
test_12197_MAPE: 5.86406
test_11693_MAE: 0.19458
test_11693_MASE: 1.68756
test_11693_MSE: 0.04346
test_11693_SMAPE: 0.36864
test_11693_MAPE: 30.63082
test_11780_MAE: 0.0064
test_11780_MASE: 1.61832
test_11780_MSE: 5e-05
test_11780_SMAPE: 0.06063
test_11780_MAPE: 6.24129
test_12502_MAE: 0.01792
test_12502_MASE: 0.89155
test_12502_MSE: 0.0005
test_12502_SMAPE: 0.129
test_12502_MAPE: 11.75065
test_11866_MAE: 0.00514
test_11866_MASE: 2.37386
test_11866_MSE: 4e-05
test_11866_SMAPE: 0.04732
test_11866_MAPE: 4.88592
test_11400_MAE: 0.09286
test_11400_MASE: 1.66073
test_11400_MSE: 0.01154
test_11400_SMAPE: 0.3024
test_11400_MAPE: 25.71281
test_12256_MAE: 0.00478
test_12256_MASE: 0.6205
test_12256_MSE: 3e-05
test_12256_SMAPE: 0.03518
test_12256_MAPE: 3.52554
test_10320_MAE: 0.01307
test_10320_MASE: 0.82815
test_10320_MSE: 0.00023
test_10320_SMAPE: 0.0838
test_10320_MAPE: 8.189
test_10030_MAE: 0.03547
test_10030_MASE: 0.77044
test_10030_MSE: 0.00174
test_10030_SMAPE: 0.19779
test_10030_MAPE: 20.26933
test_None_MAE: 0.02302
test_None_MASE: 1.47839
test_None_MSE: 0.00226
test_None_SMAPE: 0.10812
test_None_MAPE: 10.36233
test_MASE_7_DAYS: 0.95351
