
_____Results dataset-2,6,9,10,11,13,20,22,24,26,27,28,29,32,33,34,39,41,51,54_____
training_error: 0.4788
validation_error: 0.45746
test_2_MAE: 0.49979
test_2_MASE: 1.84307
test_2_MSE: 0.32227
test_2_SMAPE: 0.36147
test_2_MAPE: 29.5741
test_MASE_7_DAYS_0: 3.13474
test_6_MAE: 0.45552
test_6_MASE: 0.66304
test_6_MSE: 0.26722
test_6_SMAPE: 1.28398
test_6_MAPE: 2092.31543
test_MASE_7_DAYS_1: 1.17615
test_9_MAE: 0.26714
test_9_MASE: 0.67084
test_9_MSE: 0.1137
test_9_SMAPE: 0.66857
test_9_MAPE: 128.8546
test_MASE_7_DAYS_2: 0.5267
test_10_MAE: 0.36626
test_10_MASE: 0.63511
test_10_MSE: 0.19216
test_10_SMAPE: 0.52213
test_10_MAPE: 48.53459
test_MASE_7_DAYS_3: 1.17671
test_11_MAE: 0.50327
test_11_MASE: 0.97527
test_11_MSE: 0.31227
test_11_SMAPE: 1.25595
test_11_MAPE: 375.35406
test_MASE_7_DAYS_4: 0.73853
test_13_MAE: 0.20744
test_13_MASE: 0.61387
test_13_MSE: 0.08426
test_13_SMAPE: 0.29393
test_13_MAPE: 24.48628
test_MASE_7_DAYS_5: 1.14654
test_20_MAE: 0.55784
test_20_MASE: 0.56369
test_20_MSE: 0.40753
test_20_SMAPE: 1.20221
test_20_MAPE: 356.21036
test_MASE_7_DAYS_6: 0.56579
test_22_MAE: 0.40232
test_22_MASE: 0.74052
test_22_MSE: 0.20339
test_22_SMAPE: 0.681
test_22_MAPE: 301.86026
test_MASE_7_DAYS_7: 0.88498
test_24_MAE: 0.2557
test_24_MASE: 1.54898
test_24_MSE: 0.12177
test_24_SMAPE: 0.7839
test_24_MAPE: 183.59749
test_MASE_7_DAYS_8: 1.31659
test_26_MAE: 0.44617
test_26_MASE: 1.07227
test_26_MSE: 0.26627
test_26_SMAPE: 0.86857
test_26_MAPE: 118.29389
test_MASE_7_DAYS_9: 0.47471
test_27_MAE: 0.3251
test_27_MASE: 1.38418
test_27_MSE: 0.11235
test_27_SMAPE: 0.43318
test_27_MAPE: 56.71863
test_MASE_7_DAYS_10: 0.4806
test_28_MAE: 0.55211
test_28_MASE: 0.68903
test_28_MSE: 0.53921
test_28_SMAPE: 1.26627
test_28_MAPE: 76.55369
test_MASE_7_DAYS_11: 0.80754
test_29_MAE: 0.42743
test_29_MASE: 2.01848
test_29_MSE: 0.19873
test_29_SMAPE: 0.79634
test_29_MAPE: 155.13809
test_MASE_7_DAYS_12: 1.29513
test_32_MAE: 0.42719
test_32_MASE: 1.15771
test_32_MSE: 0.25837
test_32_SMAPE: 0.87163
test_32_MAPE: 57.83001
test_MASE_7_DAYS_13: 0.70474
test_33_MAE: 0.39714
test_33_MASE: 1.0731
test_33_MSE: 0.25151
test_33_SMAPE: 0.4519
test_33_MAPE: 43.77022
test_MASE_7_DAYS_14: 0.80293
test_34_MAE: 0.42144
test_34_MASE: 0.66578
test_34_MSE: 0.36132
test_34_SMAPE: 0.60252
test_34_MAPE: 51.15504
test_MASE_7_DAYS_15: 0.69947
test_39_MAE: 1.05958
test_39_MASE: 1.47733
test_39_MSE: 1.48063
test_39_SMAPE: 1.48956
test_39_MAPE: 221.87241
test_MASE_7_DAYS_16: 0.93334
test_41_MAE: 0.48704
test_41_MASE: 0.61967
test_41_MSE: 0.36177
test_41_SMAPE: 0.40013
test_41_MAPE: 44.10255
test_MASE_7_DAYS_17: 1.42839
test_51_MAE: 0.30262
test_51_MASE: 1.19744
test_51_MSE: 0.11254
test_51_SMAPE: 0.81802
test_51_MAPE: 316.90756
test_MASE_7_DAYS_18: 0.70512
test_54_MAE: 0.13745
test_54_MASE: 1.51692
test_54_MSE: 0.02444
test_54_SMAPE: 0.43247
test_54_MAPE: 64.25191
test_MASE_7_DAYS_19: 0.67333
mean_squared_error: 0.0003499999875202775
mean_absolute_error: 0.008969999849796295
mean_absolute_percentage_error: 1018.4474487304688
mase: 0.91327
test_None_MAE: 0.42392
test_None_MASE: 1.04965
test_None_MSE: 0.30248
test_None_SMAPE: 0.76584
test_None_MAPE: 249.62529
test_MASE_7_DAYS: 0.82273
