
_____Results dataset-12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030_____
training_error: 0.50359
validation_error: 0.40485
MASE_proper_scale_0: 3.1776199340820312
test_12532_MAE: 355.6124
test_12532_MASE: 2.79643
test_12532_MSE: 137024.39062
test_12532_SMAPE: 3.49991
test_12532_MAPE: 100.01533
test_MASE_7_DAYS_0: 1.0010099411010742
MASE_proper_scale_1: 0.9397199749946594
test_11694_MAE: 11.5598
test_11694_MASE: 2.39168
test_11694_MSE: 155.1846
test_11694_SMAPE: 3.4826
test_11694_MAPE: 99.76524
test_MASE_7_DAYS_1: 1.0081000328063965
MASE_proper_scale_2: 1.1499600410461426
test_11716_MAE: 2.96507
test_11716_MASE: 0.88952
test_11716_MSE: 18.00166
test_11716_SMAPE: 3.46608
test_11716_MAPE: 109497200.0
test_MASE_7_DAYS_2: 1.1072499752044678
MASE_proper_scale_3: 7.082029819488525
test_11950_MAE: 1.98727
test_11950_MASE: 1.49046
test_11950_MSE: 5.87521
test_11950_SMAPE: 3.44257
test_11950_MAPE: 99.68844
test_MASE_7_DAYS_3: 0.5993300080299377
MASE_proper_scale_4: 10.789270401000977
test_11195_MAE: 324.08096
test_11195_MASE: 7.65546
test_11195_MSE: 110010.64844
test_11195_SMAPE: 3.49964
test_11195_MAPE: 100.02058
test_MASE_7_DAYS_4: 1.0021300315856934
MASE_proper_scale_5: 6.9842000007629395
test_11998_MAE: 1.87749
test_11998_MASE: 1.60928
test_11998_MSE: 4.56907
test_11998_SMAPE: 3.44429
test_11998_MAPE: 925172.0
test_MASE_7_DAYS_5: 0.742579996585846
MASE_proper_scale_6: 2.83024001121521
test_274_MAE: 286.34488
test_274_MASE: 2.45088
test_274_MSE: 88490.42969
test_274_SMAPE: 3.49981
test_274_MAPE: 100.02972
test_MASE_7_DAYS_6: 1.0018600225448608
MASE_proper_scale_7: 5.717800140380859
test_11407_MAE: 3.70746
test_11407_MASE: 2.47164
test_11407_MSE: 15.67121
test_11407_SMAPE: 3.48273
test_11407_MAPE: 99.76507
test_MASE_7_DAYS_7: 1.0400099754333496
MASE_proper_scale_8: 0.6781700253486633
test_46_MAE: 21.12606
test_46_MASE: 0.91852
test_46_MSE: 1068.85339
test_46_SMAPE: 3.47876
test_46_MAPE: 99.71586
test_MASE_7_DAYS_8: 1.017989993095398
MASE_proper_scale_9: 2.844719886779785
test_11326_MAE: 91.31234
test_11326_MASE: 2.68566
test_11326_MSE: 9039.27344
test_11326_SMAPE: 3.4998
test_11326_MAPE: 100.02767
test_MASE_7_DAYS_9: 1.003159999847412
MASE_proper_scale_10: 1.692870020866394
test_11335_MAE: 26.84627
test_11335_MASE: 3.15838
test_11335_MSE: 802.11371
test_11335_SMAPE: 3.49469
test_11335_MAPE: 99.9556
test_MASE_7_DAYS_10: 1.0083099603652954
MASE_proper_scale_11: 4.735010147094727
test_12197_MAE: 294.40219
test_12197_MASE: 3.73449
test_12197_MSE: 91216.83594
test_12197_SMAPE: 3.49763
test_12197_MAPE: 100.07157
test_MASE_7_DAYS_11: 1.0076700448989868
MASE_proper_scale_12: 4.398839950561523
test_11693_MAE: 107.4045
test_11693_MASE: 5.32584
test_11693_MSE: 11695.58105
test_11693_SMAPE: 3.49775
test_11693_MAPE: 99.98146
test_MASE_7_DAYS_12: 0.999970018863678
MASE_proper_scale_13: 12.729399681091309
test_11780_MAE: 0.71284
test_11780_MASE: 0.85541
test_11780_MSE: 0.99331
test_11780_SMAPE: 3.4798
test_11780_MAPE: 1637144.25
test_MASE_7_DAYS_13: 0.6822400093078613
MASE_proper_scale_14: 0.9473099708557129
test_12502_MAE: 12.44737
test_12502_MASE: 3.11184
test_12502_MSE: 165.60754
test_12502_SMAPE: 3.49868
test_12502_MAPE: 100.22791
test_MASE_7_DAYS_14: 1.067639946937561
MASE_proper_scale_15: 1.2720799446105957
test_11866_MAE: 4.57851
test_11866_MASE: 1.05658
test_11866_MSE: 36.26205
test_11866_SMAPE: 3.49675
test_11866_MAPE: 725192.0625
test_MASE_7_DAYS_15: 1.0730400085449219
MASE_proper_scale_16: 3.778749942779541
test_11400_MAE: 67.72509
test_11400_MASE: 3.90722
test_11400_MSE: 4868.646
test_11400_SMAPE: 3.49919
test_11400_MAPE: 100.00869
test_MASE_7_DAYS_16: 1.0028300285339355
MASE_proper_scale_17: 8.206080436706543
test_12256_MAE: 1048.41077
test_12256_MASE: 5.96818
test_12256_MSE: 1139659.375
test_12256_SMAPE: 3.49903
test_12256_MAPE: 100.03103
test_MASE_7_DAYS_17: 1.002519965171814
MASE_proper_scale_18: 1.2872600555419922
test_10320_MAE: 12.70689
test_10320_MASE: 3.31484
test_10320_MSE: 181.48801
test_10320_SMAPE: 3.4911
test_10320_MAPE: 99.87607
test_MASE_7_DAYS_18: 1.001960039138794
MASE_proper_scale_19: 1.2560700178146362
test_10030_MAE: 16.99363
test_10030_MASE: 3.08975
test_10030_MSE: 354.45099
test_10030_SMAPE: 3.4866
test_10030_MAPE: 99.86759
test_MASE_7_DAYS_19: 1.0264099836349487
