
_____Results dataset-12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030_____
training_error: 0.32868
validation_error: 0.23834
MASE_proper_scale_0: 1.7641700506210327
test_12532_MAE: 355.78976
test_12532_MASE: 2.79782
test_12532_MSE: 137158.4375
test_12532_SMAPE: 2.0
test_12532_MAPE: 100.06612
test_MASE_7_DAYS_0: 0.9990900158882141
MASE_proper_scale_1: 0.8100500106811523
test_11694_MAE: 11.79792
test_11694_MASE: 2.44095
test_11694_MSE: 160.49776
test_11694_SMAPE: 2.0
test_11694_MAPE: 102.40737
test_MASE_7_DAYS_1: 0.9837999939918518
MASE_proper_scale_2: 0.7660099864006042
test_11716_MAE: 3.29224
test_11716_MASE: 0.98767
test_11716_MSE: 20.66994
test_11716_SMAPE: 2.0
test_11716_MAPE: 123478760.0
test_MASE_7_DAYS_2: 0.9467700123786926
MASE_proper_scale_3: 1.007349967956543
test_11950_MAE: 2.53994
test_11950_MASE: 1.90496
test_11950_MSE: 8.46214
test_11950_SMAPE: 2.0
test_11950_MAPE: 138.68109
test_MASE_7_DAYS_3: 0.815339982509613
MASE_proper_scale_4: 4.709969997406006
test_11195_MAE: 324.16
test_11195_MASE: 7.65732
test_11195_MSE: 110054.86719
test_11195_SMAPE: 2.0
test_11195_MAPE: 100.05106
test_MASE_7_DAYS_4: 0.9992499947547913
MASE_proper_scale_5: 2.5066399574279785
test_11998_MAE: 2.07151
test_11998_MASE: 1.77558
test_11998_MSE: 5.29171
test_11998_SMAPE: 2.0
test_11998_MAPE: 27033132.0
test_MASE_7_DAYS_5: 0.7396500110626221
MASE_proper_scale_6: 1.7197999954223633
test_274_MAE: 286.45679
test_274_MASE: 2.45184
test_274_MSE: 88565.9375
test_274_SMAPE: 2.0
test_274_MAPE: 100.06377
test_MASE_7_DAYS_6: 0.9988800287246704
MASE_proper_scale_7: 6.050169944763184
test_11407_MAE: 4.26255
test_11407_MASE: 2.8417
test_11407_MSE: 20.08804
test_11407_SMAPE: 2.0
test_11407_MAPE: 119.57448
test_MASE_7_DAYS_7: 0.9695500135421753
MASE_proper_scale_8: 0.6515100002288818
test_46_MAE: 21.9209
test_46_MASE: 0.95308
test_46_MSE: 1101.60486
test_46_SMAPE: 2.0
test_46_MAPE: 109.40395
test_MASE_7_DAYS_8: 0.9780499935150146
MASE_proper_scale_9: 1.1707199811935425
test_11326_MAE: 91.58342
test_11326_MASE: 2.69363
test_11326_MSE: 9088.67871
test_11326_SMAPE: 2.0
test_11326_MAPE: 100.36098
test_MASE_7_DAYS_9: 0.9979400038719177
MASE_proper_scale_10: 0.9261199831962585
test_11335_MAE: 27.62135
test_11335_MASE: 3.24957
test_11335_MSE: 844.52191
test_11335_SMAPE: 2.0
test_11335_MAPE: 103.1613
test_MASE_7_DAYS_10: 0.9788600206375122
MASE_proper_scale_11: 1.7847399711608887
test_12197_MAE: 293.19049
test_12197_MASE: 3.71912
test_12197_MSE: 90478.05469
test_12197_SMAPE: 1.98643
test_12197_MAPE: 99.65953
test_MASE_7_DAYS_11: 0.9948499798774719
MASE_proper_scale_12: 1.2450000047683716
test_11693_MAE: 107.63068
test_11693_MASE: 5.33706
test_11693_MSE: 11745.21582
test_11693_SMAPE: 2.0
test_11693_MAPE: 100.19048
test_MASE_7_DAYS_12: 0.9919700026512146
MASE_proper_scale_13: 3.025239944458008
test_11780_MAE: 1.44006
test_11780_MASE: 1.72807
test_11780_MSE: 2.56362
test_11780_SMAPE: 2.0
test_11780_MAPE: 311711136.0
test_MASE_7_DAYS_13: 0.9106199741363525
MASE_proper_scale_14: 1.4982099533081055
test_12502_MAE: 12.93739
test_12502_MASE: 3.23435
test_12502_MSE: 178.20689
test_12502_SMAPE: 2.0
test_12502_MAPE: 104.37965
test_MASE_7_DAYS_14: 0.975409984588623
MASE_proper_scale_15: 0.8909199833869934
test_11866_MAE: 5.19444
test_11866_MASE: 1.19872
test_11866_MSE: 42.38705
test_11866_SMAPE: 2.0
test_11866_MAPE: 89131816.0
test_MASE_7_DAYS_15: 0.967519998550415
MASE_proper_scale_16: 2.889849901199341
test_11400_MAE: 67.98293
test_11400_MASE: 3.92209
test_11400_MSE: 4902.80859
test_11400_SMAPE: 2.0
test_11400_MAPE: 100.41944
test_MASE_7_DAYS_16: 0.9901300072669983
MASE_proper_scale_17: 2.263979911804199
test_12256_MAE: 1047.41174
test_12256_MASE: 5.9625
test_12256_MSE: 1137296.375
test_12256_SMAPE: 1.99775
test_12256_MAPE: 99.94366
test_MASE_7_DAYS_17: 0.9986699819564819
MASE_proper_scale_18: 1.0006200075149536
test_10320_MAE: 13.08594
test_10320_MASE: 3.41372
test_10320_MSE: 191.16162
test_10320_SMAPE: 2.0
test_10320_MAPE: 103.37721
test_MASE_7_DAYS_18: 0.9955899715423584
MASE_proper_scale_19: 1.450410008430481
test_10030_MAE: 17.13062
test_10030_MASE: 3.11466
test_10030_MSE: 359.28854
test_10030_SMAPE: 2.0
test_10030_MAPE: 100.81881
test_MASE_7_DAYS_19: 0.9627199769020081
