
_____Results dataset-12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030_____
training_error: 0.3278
validation_error: 0.24416
MASE_proper_scale_0: 1.7082600593566895
test_12532_MAE: 355.77304
test_12532_MASE: 2.79769
test_12532_MSE: 137146.53125
test_12532_SMAPE: 2.0
test_12532_MAPE: 100.06105
test_MASE_7_DAYS_0: 0.9990400075912476
MASE_proper_scale_1: 0.7942000031471252
test_11694_MAE: 11.78609
test_11694_MASE: 2.4385
test_11694_MSE: 160.19846
test_11694_SMAPE: 2.0
test_11694_MAPE: 102.29297
test_MASE_7_DAYS_1: 0.9830499887466431
MASE_proper_scale_2: 0.81045001745224
test_11716_MAE: 3.28221
test_11716_MASE: 0.98466
test_11716_MSE: 20.64032
test_11716_SMAPE: 2.0
test_11716_MAPE: 119206560.0
test_MASE_7_DAYS_2: 0.943310022354126
MASE_proper_scale_3: 0.9884899854660034
test_11950_MAE: 2.54328
test_11950_MASE: 1.90746
test_11950_MSE: 8.46958
test_11950_SMAPE: 2.0
test_11950_MAPE: 139.0229
test_MASE_7_DAYS_3: 0.8172399997711182
MASE_proper_scale_4: 4.4203200340271
test_11195_MAE: 324.1391
test_11195_MASE: 7.65683
test_11195_MSE: 110041.19531
test_11195_SMAPE: 2.0
test_11195_MAPE: 100.04429
test_MASE_7_DAYS_4: 0.999180018901825
MASE_proper_scale_5: 2.6603899002075195
test_11998_MAE: 2.06875
test_11998_MASE: 1.77321
test_11998_MSE: 5.27456
test_11998_SMAPE: 2.0
test_11998_MAPE: 26545434.0
test_MASE_7_DAYS_5: 0.7302899956703186
MASE_proper_scale_6: 1.6662100553512573
test_274_MAE: 286.4353
test_274_MASE: 2.45166
test_274_MSE: 88553.57031
test_274_SMAPE: 2.0
test_274_MAPE: 100.05571
test_MASE_7_DAYS_6: 0.9987999796867371
MASE_proper_scale_7: 6.70973014831543
test_11407_MAE: 4.25327
test_11407_MASE: 2.83551
test_11407_MSE: 20.0157
test_11407_SMAPE: 2.0
test_11407_MAPE: 119.17818
test_MASE_7_DAYS_7: 0.9672999978065491
MASE_proper_scale_8: 0.6547999978065491
test_46_MAE: 21.91683
test_46_MASE: 0.95291
test_46_MSE: 1101.79175
test_46_SMAPE: 2.0
test_46_MAPE: 109.31177
test_MASE_7_DAYS_8: 0.9785199761390686
MASE_proper_scale_9: 1.0973800420761108
test_11326_MAE: 91.57286
test_11326_MASE: 2.69332
test_11326_MSE: 9086.68945
test_11326_SMAPE: 2.0
test_11326_MAPE: 100.34884
test_MASE_7_DAYS_9: 0.9978200197219849
MASE_proper_scale_10: 0.9291899800300598
test_11335_MAE: 27.62203
test_11335_MASE: 3.24965
test_11335_MSE: 844.57367
test_11335_SMAPE: 2.0
test_11335_MAPE: 103.1651
test_MASE_7_DAYS_10: 0.9790300130844116
MASE_proper_scale_11: 1.7818900346755981
test_12197_MAE: 293.22028
test_12197_MASE: 3.7195
test_12197_MSE: 90495.86719
test_12197_SMAPE: 1.98685
test_12197_MAPE: 99.67011
test_MASE_7_DAYS_11: 0.9948400259017944
MASE_proper_scale_12: 1.2309199571609497
test_11693_MAE: 107.62873
test_11693_MASE: 5.33696
test_11693_MSE: 11744.80176
test_11693_SMAPE: 2.0
test_11693_MAPE: 100.1887
test_MASE_7_DAYS_12: 0.9919400215148926
MASE_proper_scale_13: 3.3376500606536865
test_11780_MAE: 1.43125
test_11780_MASE: 1.7175
test_11780_MSE: 2.54234
test_11780_SMAPE: 2.0
test_11780_MAPE: 305842560.0
test_MASE_7_DAYS_13: 0.9048600196838379
MASE_proper_scale_14: 1.4666500091552734
test_12502_MAE: 12.93027
test_12502_MASE: 3.23257
test_12502_MSE: 178.02831
test_12502_SMAPE: 2.0
test_12502_MAPE: 104.31696
test_MASE_7_DAYS_14: 0.9749600291252136
MASE_proper_scale_15: 0.9077500104904175
test_11866_MAE: 5.18471
test_11866_MASE: 1.19647
test_11866_MSE: 42.27159
test_11866_SMAPE: 2.0
test_11866_MAPE: 86896304.0
test_MASE_7_DAYS_15: 0.9655200242996216
MASE_proper_scale_16: 3.0422799587249756
test_11400_MAE: 67.96743
test_11400_MASE: 3.9212
test_11400_MSE: 4900.62549
test_11400_SMAPE: 2.0
test_11400_MAPE: 100.39587
test_MASE_7_DAYS_16: 0.9899100065231323
MASE_proper_scale_17: 2.2098300457000732
test_12256_MAE: 1047.37622
test_12256_MASE: 5.96229
test_12256_MSE: 1137208.25
test_12256_SMAPE: 1.99764
test_12256_MAPE: 99.94091
test_MASE_7_DAYS_17: 0.9986500144004822
MASE_proper_scale_18: 1.1834900379180908
test_10320_MAE: 13.08052
test_10320_MASE: 3.41231
test_10320_MSE: 191.02783
test_10320_SMAPE: 2.0
test_10320_MAPE: 103.32531
test_MASE_7_DAYS_18: 0.9952300190925598
MASE_proper_scale_19: 1.4406100511550903
test_10030_MAE: 17.13537
test_10030_MASE: 3.11552
test_10030_MSE: 359.51932
test_10030_SMAPE: 2.0
test_10030_MAPE: 100.84595
test_MASE_7_DAYS_19: 0.9631800055503845
