
_____Results dataset-2,6,9,10,11,13,20,22,24,26,27,28,29,32,33,34,39,41,51,54_____
training_error: 0.06792
validation_error: 0.0848
test_2_MAE: 0.03789
test_2_MASE: 1.25156
test_2_MSE: 0.00227
test_2_SMAPE: 0.06422
test_2_MAPE: 6.11776
test_MASE_7_DAYS_0: 2.12869
test_6_MAE: 0.1056
test_6_MASE: 1.0118
test_6_MSE: 0.01278
test_6_SMAPE: 0.1487
test_6_MAPE: 13.84705
test_MASE_7_DAYS_1: 1.7948
test_9_MAE: 0.08131
test_9_MASE: 2.08213
test_9_MSE: 0.00733
test_9_SMAPE: 0.13418
test_9_MAPE: 12.50445
test_MASE_7_DAYS_2: 1.63476
test_10_MAE: 0.03763
test_10_MASE: 0.55499
test_10_MSE: 0.00208
test_10_SMAPE: 0.062
test_10_MAPE: 6.05264
test_MASE_7_DAYS_3: 1.02828
test_11_MAE: 0.09442
test_11_MASE: 1.08125
test_11_MSE: 0.01003
test_11_SMAPE: 0.16633
test_11_MAPE: 18.13687
test_MASE_7_DAYS_4: 0.7364
test_13_MAE: 0.0432
test_13_MASE: 1.02037
test_13_MSE: 0.00221
test_13_SMAPE: 0.06655
test_13_MAPE: 6.41926
test_MASE_7_DAYS_5: 1.90577
test_20_MAE: 0.11173
test_20_MASE: 0.58959
test_20_MSE: 0.01892
test_20_SMAPE: 0.57114
test_20_MAPE: 85.78104
test_MASE_7_DAYS_6: 0.59178
test_22_MAE: 0.04298
test_22_MASE: 0.75964
test_22_MSE: 0.00327
test_22_SMAPE: 0.07391
test_22_MAPE: 6.98171
test_MASE_7_DAYS_7: 0.90783
test_24_MAE: 0.08196
test_24_MASE: 3.87221
test_24_MSE: 0.00795
test_24_SMAPE: 0.11914
test_24_MAPE: 11.14698
test_MASE_7_DAYS_8: 3.29126
test_26_MAE: 0.05882
test_26_MASE: 1.08459
test_26_MSE: 0.00482
test_26_SMAPE: 0.10797
test_26_MAPE: 10.41819
test_MASE_7_DAYS_9: 0.6296
test_27_MAE: 0.08582
test_27_MASE: 2.72484
test_27_MSE: 0.00847
test_27_SMAPE: 0.14893
test_27_MAPE: 13.72789
test_MASE_7_DAYS_10: 0.9461
test_28_MAE: 0.11679
test_28_MASE: 0.62503
test_28_MSE: 0.02645
test_28_SMAPE: 0.22931
test_28_MAPE: 31.93398
test_MASE_7_DAYS_11: 0.73255
test_29_MAE: 0.06544
test_29_MASE: 3.00902
test_29_MSE: 0.00592
test_29_SMAPE: 0.10847
test_29_MAPE: 10.10275
test_MASE_7_DAYS_12: 1.93069
test_32_MAE: 0.03467
test_32_MASE: 0.80653
test_32_MSE: 0.00175
test_32_SMAPE: 0.0619
test_32_MAPE: 6.44258
test_MASE_7_DAYS_13: 0.49096
test_33_MAE: 0.04868
test_33_MASE: 1.26671
test_33_MSE: 0.00314
test_33_SMAPE: 0.08455
test_33_MAPE: 8.06586
test_MASE_7_DAYS_14: 0.9478
test_34_MAE: 0.09906
test_34_MASE: 0.64341
test_34_MSE: 0.02072
test_34_SMAPE: 0.18617
test_34_MAPE: 19.55634
test_MASE_7_DAYS_15: 0.67597
test_39_MAE: 0.13664
test_39_MASE: 1.16251
test_39_MSE: 0.02532
test_39_SMAPE: 0.21814
test_39_MAPE: 19.08772
test_MASE_7_DAYS_16: 1.2118
test_41_MAE: 0.12548
test_41_MASE: 0.73786
test_41_MSE: 0.01984
test_41_SMAPE: 0.27763
test_41_MAPE: 26.74733
test_MASE_7_DAYS_17: 1.70083
test_51_MAE: 0.06452
test_51_MASE: 2.80337
test_51_MSE: 0.00483
test_51_SMAPE: 0.11342
test_51_MAPE: 10.65346
test_MASE_7_DAYS_18: 1.65077
test_54_MAE: 0.07453
test_54_MASE: 7.3985
test_54_MSE: 0.00562
test_54_SMAPE: 0.10179
test_54_MAPE: 9.68073
test_MASE_7_DAYS_19: 3.28403
test_None_MAE: 0.08003
test_None_MASE: 1.78091
test_None_MSE: 0.01033
test_None_SMAPE: 0.15673
test_None_MAPE: 22.31669
test_MASE_7_DAYS: 1.0894
