
_____Results dataset-2,6,9,10,11,13,20,22,24,26,27,28,29,32,33,34,39,41,51,54_____
training_error: 0.0711
validation_error: 0.08479
test_2_MAE: 0.03676
test_2_MASE: 1.22784
test_2_MSE: 0.00219
test_2_SMAPE: 0.06415
test_2_MAPE: 6.10468
test_MASE_7_DAYS_0: 2.08833
test_6_MAE: 0.09223
test_6_MASE: 0.93936
test_6_MSE: 0.00982
test_6_SMAPE: 0.1507
test_6_MAPE: 14.05922
test_MASE_7_DAYS_1: 1.66631
test_9_MAE: 0.07976
test_9_MASE: 2.04224
test_9_MSE: 0.0071
test_9_SMAPE: 0.13142
test_9_MAPE: 12.25915
test_MASE_7_DAYS_2: 1.60345
test_10_MAE: 0.03754
test_10_MASE: 0.55353
test_10_MSE: 0.00216
test_10_SMAPE: 0.06182
test_10_MAPE: 6.031
test_MASE_7_DAYS_3: 1.02556
test_11_MAE: 0.20394
test_11_MASE: 2.38153
test_11_MSE: 0.04637
test_11_SMAPE: 0.33711
test_11_MAPE: 41.88433
test_MASE_7_DAYS_4: 1.17905
test_13_MAE: 0.04006
test_13_MASE: 0.95883
test_13_MSE: 0.00191
test_13_SMAPE: 0.06373
test_13_MAPE: 6.16084
test_MASE_7_DAYS_5: 1.79083
test_20_MAE: 0.10406
test_20_MASE: 0.54908
test_20_MSE: 0.01694
test_20_SMAPE: 0.51573
test_20_MAPE: 113.35056
test_MASE_7_DAYS_6: 0.55113
test_22_MAE: 0.04723
test_22_MASE: 0.83482
test_22_MSE: 0.00383
test_22_SMAPE: 0.08172
test_22_MAPE: 7.67546
test_MASE_7_DAYS_7: 0.99767
test_24_MAE: 0.07216
test_24_MASE: 3.56088
test_24_MSE: 0.00642
test_24_SMAPE: 0.11646
test_24_MAPE: 10.88543
test_MASE_7_DAYS_8: 3.02664
test_26_MAE: 0.05816
test_26_MASE: 1.0723
test_26_MSE: 0.00457
test_26_SMAPE: 0.10634
test_26_MAPE: 10.5987
test_MASE_7_DAYS_9: 0.47472
test_27_MAE: 0.09216
test_27_MASE: 2.97425
test_27_MSE: 0.00972
test_27_SMAPE: 0.16872
test_27_MAPE: 15.39894
test_MASE_7_DAYS_10: 1.0327
test_28_MAE: 0.12257
test_28_MASE: 0.73299
test_28_MSE: 0.02587
test_28_SMAPE: 0.33596
test_28_MAPE: 56.89269
test_MASE_7_DAYS_11: 0.85907
test_29_MAE: 0.06318
test_29_MASE: 2.90515
test_29_MSE: 0.00568
test_29_SMAPE: 0.10446
test_29_MAPE: 9.73315
test_MASE_7_DAYS_12: 1.86404
test_32_MAE: 0.03396
test_32_MASE: 0.79011
test_32_MSE: 0.00161
test_32_SMAPE: 0.06072
test_32_MAPE: 6.28165
test_MASE_7_DAYS_13: 0.48097
test_33_MAE: 0.05152
test_33_MASE: 1.3406
test_33_MSE: 0.00368
test_33_SMAPE: 0.08974
test_33_MAPE: 8.49365
test_MASE_7_DAYS_14: 1.00309
test_34_MAE: 0.08796
test_34_MASE: 0.63983
test_34_MSE: 0.01656
test_34_SMAPE: 0.24213
test_34_MAPE: 26.73366
test_MASE_7_DAYS_15: 0.6722
test_39_MAE: 0.17198
test_39_MASE: 1.91801
test_39_MSE: 0.03746
test_39_SMAPE: 0.27791
test_39_MAPE: 23.75328
test_MASE_7_DAYS_16: 1.21176
test_41_MAE: 0.11433
test_41_MASE: 0.74297
test_41_MSE: 0.01597
test_41_SMAPE: 0.36849
test_41_MAPE: 36.62337
test_MASE_7_DAYS_17: 1.71261
test_51_MAE: 0.06945
test_51_MASE: 3.01741
test_51_MSE: 0.00551
test_51_SMAPE: 0.12269
test_51_MAPE: 11.47765
test_MASE_7_DAYS_18: 1.77681
test_54_MAE: 0.07331
test_54_MASE: 7.27775
test_54_MSE: 0.00546
test_54_SMAPE: 0.10004
test_54_MAPE: 9.52143
test_MASE_7_DAYS_19: 3.23044
test_None_MAE: 0.08725
test_None_MASE: 1.94222
test_None_MSE: 0.01253
test_None_SMAPE: 0.18371
test_None_MAPE: 26.56554
test_MASE_7_DAYS: 1.14337
