
_____Results dataset-2,6,9,10,11,13,20,22,24,26,27,28,29,32,33,34,39,41,51,54_____
training_error: 0.06843
validation_error: 0.07946
test_2_MAE: 0.03362
test_2_MASE: 1.19561
test_2_MSE: 0.0018
test_2_SMAPE: 0.07034
test_2_MAPE: 6.67008
test_MASE_7_DAYS_0: 2.03353
test_6_MAE: 0.08796
test_6_MASE: 0.93651
test_6_MSE: 0.00885
test_6_SMAPE: 0.16229
test_6_MAPE: 15.10036
test_MASE_7_DAYS_1: 1.66124
test_9_MAE: 0.06906
test_9_MASE: 1.91662
test_9_MSE: 0.0054
test_9_SMAPE: 0.14238
test_9_MAPE: 13.19922
test_MASE_7_DAYS_2: 1.50482
test_10_MAE: 0.03273
test_10_MASE: 0.52841
test_10_MSE: 0.00151
test_10_SMAPE: 0.0699
test_10_MAPE: 6.91866
test_MASE_7_DAYS_3: 0.97902
test_11_MAE: 0.19474
test_11_MASE: 2.50551
test_11_MSE: 0.04193
test_11_SMAPE: 0.42323
test_11_MAPE: 56.06604
test_MASE_7_DAYS_4: 1.24043
test_13_MAE: 0.03414
test_13_MASE: 0.88712
test_13_MSE: 0.00137
test_13_SMAPE: 0.06806
test_13_MAPE: 6.60073
test_MASE_7_DAYS_5: 1.6569
test_20_MAE: 0.10353
test_20_MASE: 0.60702
test_20_MSE: 0.01483
test_20_SMAPE: 1.08002
test_20_MAPE: 177.52776
test_MASE_7_DAYS_6: 0.60928
test_22_MAE: 0.03998
test_22_MASE: 0.76995
test_22_MSE: 0.00278
test_22_SMAPE: 0.08868
test_22_MAPE: 8.31702
test_MASE_7_DAYS_7: 0.92016
test_24_MAE: 0.06979
test_24_MASE: 3.61716
test_24_MSE: 0.00599
test_24_SMAPE: 0.12888
test_24_MAPE: 11.96728
test_MASE_7_DAYS_8: 3.07447
test_26_MAE: 0.05378
test_26_MASE: 1.09271
test_26_MSE: 0.00403
test_26_SMAPE: 0.133
test_26_MAPE: 13.5315
test_MASE_7_DAYS_9: 0.48376
test_27_MAE: 0.07899
test_27_MASE: 2.75468
test_27_MSE: 0.00737
test_27_SMAPE: 0.18187
test_27_MAPE: 16.4342
test_MASE_7_DAYS_10: 0.95646
test_28_MAE: 0.12612
test_28_MASE: 0.78123
test_28_MSE: 0.02591
test_28_SMAPE: 0.39087
test_28_MAPE: 74.72304
test_MASE_7_DAYS_11: 0.91561
test_29_MAE: 0.05783
test_29_MASE: 2.86212
test_29_MSE: 0.00474
test_29_SMAPE: 0.11765
test_29_MAPE: 10.87803
test_MASE_7_DAYS_12: 1.83643
test_32_MAE: 0.03315
test_32_MASE: 0.83179
test_32_MSE: 0.00152
test_32_SMAPE: 0.07418
test_32_MAPE: 7.77294
test_MASE_7_DAYS_13: 0.50634
test_33_MAE: 0.04559
test_33_MASE: 1.29112
test_33_MSE: 0.0027
test_33_SMAPE: 0.10196
test_33_MAPE: 9.68614
test_MASE_7_DAYS_14: 0.96606
test_34_MAE: 0.0929
test_34_MASE: 0.68962
test_34_MSE: 0.01643
test_34_SMAPE: 0.2771
test_34_MAPE: 31.6278
test_MASE_7_DAYS_15: 0.72451
test_39_MAE: 0.14762
test_39_MASE: 1.80286
test_39_MSE: 0.02826
test_39_SMAPE: 0.30486
test_39_MAPE: 25.60604
test_MASE_7_DAYS_16: 1.13901
test_41_MAE: 0.09803
test_41_MASE: 0.65339
test_41_MSE: 0.01262
test_41_SMAPE: 0.35287
test_41_MAPE: 36.60404
test_MASE_7_DAYS_17: 1.50612
test_51_MAE: 0.06236
test_51_MASE: 2.89561
test_51_MSE: 0.00453
test_51_SMAPE: 0.13358
test_51_MAPE: 12.40995
test_MASE_7_DAYS_18: 1.70509
test_54_MAE: 0.06031
test_54_MASE: 6.5447
test_54_MSE: 0.0037
test_54_SMAPE: 0.10246
test_54_MAPE: 9.73998
test_MASE_7_DAYS_19: 2.90505
test_None_MAE: 0.08094
test_None_MASE: 1.84373
test_None_MSE: 0.01122
test_None_SMAPE: 0.22174
test_None_MAPE: 45.65594
test_MASE_7_DAYS: 1.14123
