
_____Results dataset-2,6,10,11,13,20,22,24,26,27,28,29,32,33,34,39,41,51,54_____
training_error: 0.04617
validation_error: 0.03548
test_2_MAE: 0.02119
test_2_MASE: 2.56423
test_2_MSE: 0.00061
test_2_SMAPE: 0.09518
test_2_MAPE: 8.96014
test_6_MAE: 0.0275
test_6_MASE: 0.81965
test_6_MSE: 0.00157
test_6_SMAPE: 0.09468
test_6_MAPE: 8.6976
test_10_MAE: 0.01444
test_10_MASE: 0.81998
test_10_MSE: 0.00028
test_10_SMAPE: 0.06241
test_10_MAPE: 6.46936
test_11_MAE: 0.03802
test_11_MASE: 0.81496
test_11_MSE: 0.00184
test_11_SMAPE: 0.13067
test_11_MAPE: 13.34245
test_13_MAE: 0.01541
test_13_MASE: 1.01382
test_13_MSE: 0.00034
test_13_SMAPE: 0.05172
test_13_MAPE: 5.3675
test_20_MAE: 0.0969
test_20_MASE: 0.81823
test_20_MSE: 0.01745
test_20_SMAPE: 0.31268
test_20_MAPE: 25.6935
test_22_MAE: 0.02562
test_22_MASE: 1.21029
test_22_MSE: 0.0008
test_22_SMAPE: 0.10918
test_22_MAPE: 10.63672
test_24_MAE: 0.0248
test_24_MASE: 1.49316
test_24_MSE: 0.0009
test_24_SMAPE: 0.08739
test_24_MAPE: 8.23364
test_26_MAE: 0.02213
test_26_MASE: 0.93629
test_26_MSE: 0.00071
test_26_SMAPE: 0.08982
test_26_MAPE: 9.08828
test_27_MAE: 0.01095
test_27_MASE: 0.92332
test_27_MSE: 0.00019
test_27_SMAPE: 0.04651
test_27_MAPE: 4.82326
test_28_MAE: 0.10153
test_28_MASE: 0.55508
test_28_MSE: 0.01549
test_28_SMAPE: 0.23021
test_28_MAPE: 24.19646
test_29_MAE: 0.01379
test_29_MASE: 1.50537
test_29_MSE: 0.00029
test_29_SMAPE: 0.06555
test_29_MAPE: 6.60735
test_32_MAE: 0.01446
test_32_MASE: 0.74321
test_32_MSE: 0.00032
test_32_SMAPE: 0.0709
test_32_MAPE: 7.31659
test_33_MAE: 0.01583
test_33_MASE: 0.97235
test_33_MSE: 0.00037
test_33_SMAPE: 0.07085
test_33_MAPE: 7.40175
test_34_MAE: 0.02824
test_34_MASE: 0.5514
test_34_MSE: 0.0011
test_34_SMAPE: 0.11065
test_34_MAPE: 11.20183
test_39_MAE: 0.01159
test_39_MASE: 0.49009
test_39_MSE: 0.00031
test_39_SMAPE: 0.04652
test_39_MAPE: 4.9033
test_41_MAE: 0.04544
test_41_MASE: 1.04254
test_41_MSE: 0.00218
test_41_SMAPE: 0.1994
test_41_MAPE: 21.53856
test_51_MAE: 0.01276
test_51_MASE: 2.24564
test_51_MSE: 0.00022
test_51_SMAPE: 0.07159
test_51_MAPE: 7.51906
test_54_MAE: 0.01163
test_54_MASE: 0.79117
test_54_MSE: 0.00033
test_54_SMAPE: 0.0412
test_54_MAPE: 4.31551
test_None_MAE: 0.0299
test_None_MASE: 1.12823
test_None_MSE: 0.00248
test_None_SMAPE: 0.10806
test_None_MAPE: 10.59969
test_MASE_7_DAYS: 0.69236
