
_____Results dataset-2,6,9,10,11,13,20,22,24,26,27,28,29,32,33,34,39,41,51,54_____
training_error: 0.13207
validation_error: 0.12431
test_2_MAE: 0.0126
test_2_MASE: 0.6838
test_2_MSE: 0.00019
test_2_SMAPE: 0.1714
test_2_MAPE: 18.85693
test_MASE_7_DAYS_0: 0.43507
test_6_MAE: 0.03472
test_6_MASE: 0.52026
test_6_MSE: 0.00159
test_6_SMAPE: 0.2029
test_6_MAPE: 22.80196
test_MASE_7_DAYS_1: 0.32989
test_9_MAE: 0.02944
test_9_MASE: 0.54077
test_9_MSE: 0.00138
test_9_SMAPE: 0.65038
test_9_MAPE: 134.23741
test_MASE_7_DAYS_2: 0.45559
test_10_MAE: 0.05314
test_10_MASE: 0.47423
test_10_MSE: 0.00409
test_10_SMAPE: 1.05207
test_10_MAPE: 95.77483
test_MASE_7_DAYS_3: 0.38809
test_11_MAE: 0.04846
test_11_MASE: 0.36287
test_11_MSE: 0.00343
test_11_SMAPE: 0.61814
test_11_MAPE: 66.44155
test_MASE_7_DAYS_4: 0.20453
test_13_MAE: 0.04056
test_13_MASE: 0.61326
test_13_MSE: 0.00214
test_13_SMAPE: 0.34557
test_13_MAPE: 41.92317
test_MASE_7_DAYS_5: 0.42868
test_20_MAE: 0.07338
test_20_MASE: 0.38367
test_20_MSE: 0.00843
test_20_SMAPE: 0.32988
test_20_MAPE: 37.14709
test_MASE_7_DAYS_6: 0.27058
test_22_MAE: 0.04645
test_22_MASE: 0.43486
test_22_MSE: 0.00363
test_22_SMAPE: 1.23457
test_22_MAPE: 171.98531
test_MASE_7_DAYS_7: 0.36623
test_24_MAE: 0.03767
test_24_MASE: 0.55927
test_24_MSE: 0.0016
test_24_SMAPE: 1.35846
test_24_MAPE: 198.31491
test_MASE_7_DAYS_8: 0.30451
test_26_MAE: 0.12608
test_26_MASE: 0.61328
test_26_MSE: 0.02223
test_26_SMAPE: 1.26969
test_26_MAPE: 105.67932
test_MASE_7_DAYS_9: 0.28074
test_27_MAE: 0.06312
test_27_MASE: 0.524
test_27_MSE: 0.00511
test_27_SMAPE: 0.79769
test_27_MAPE: 456.04715
test_MASE_7_DAYS_10: 0.31626
test_28_MAE: 0.07878
test_28_MASE: 0.47205
test_28_MSE: 0.00932
test_28_SMAPE: 0.57617
test_28_MAPE: 125.26045
test_MASE_7_DAYS_11: 0.30938
test_29_MAE: 0.03392
test_29_MASE: 0.7985
test_29_MSE: 0.00181
test_29_SMAPE: 0.36161
test_29_MAPE: 53.45138
test_MASE_7_DAYS_12: 0.22044
test_32_MAE: 0.03906
test_32_MASE: 0.52999
test_32_MSE: 0.0019
test_32_SMAPE: 0.28747
test_32_MAPE: 30.93328
test_MASE_7_DAYS_13: 0.23777
test_33_MAE: 0.02636
test_33_MASE: 0.73474
test_33_MSE: 0.00096
test_33_SMAPE: 0.91514
test_33_MAPE: 55.54021
test_MASE_7_DAYS_14: 0.19124
test_34_MAE: 0.08576
test_34_MASE: 0.49844
test_34_MSE: 0.01378
test_34_SMAPE: 1.01693
test_34_MAPE: 66.86732
test_MASE_7_DAYS_15: 0.3062
test_39_MAE: 0.05778
test_39_MASE: 0.73043
test_39_MSE: 0.00376
test_39_SMAPE: 0.78699
test_39_MAPE: 55.38982
test_MASE_7_DAYS_16: 0.26434
test_41_MAE: 0.03575
test_41_MASE: 0.64691
test_41_MSE: 0.0015
test_41_SMAPE: 0.96196
test_41_MAPE: 3910.17529
test_MASE_7_DAYS_17: 0.4608
test_51_MAE: 0.01468
test_51_MASE: 0.34087
test_51_MSE: 0.0005
test_51_SMAPE: 0.74527
test_51_MAPE: 70.7457
test_MASE_7_DAYS_18: 0.17923
test_54_MAE: 0.02138
test_54_MASE: 0.53562
test_54_MSE: 0.0009
test_54_SMAPE: 0.1681
test_54_MAPE: 20.74587
test_MASE_7_DAYS_19: 0.35482
test_None_MAE: 0.08048
test_None_MASE: 1.11946
test_None_MSE: 0.01016
test_None_SMAPE: 1.01027
test_None_MAPE: 298.95993
test_MASE_7_DAYS: 0.49274
