
_____Results dataset-12532,11694,11716,11950,11195,11998,274,11407,46,11326,11335,12197,11693,11780,12502,11866,11400,12256,10320,10030_____
training_error: 0.02484
validation_error: 0.02313
test_12532_MAE: 0.00585
test_12532_MASE: 0.61779
test_12532_MSE: 6e-05
test_12532_SMAPE: 0.04625
test_12532_MAPE: 4.50189
test_11694_MAE: 0.0051
test_11694_MASE: 3.03844
test_11694_MSE: 3e-05
test_11694_SMAPE: 0.04826
test_11694_MAPE: 4.9601
test_11716_MAE: 0.01548
test_11716_MASE: 0.78032
test_11716_MSE: 0.00055
test_11716_SMAPE: 0.12457
test_11716_MAPE: 11.52979
test_11950_MAE: 0.02232
test_11950_MASE: 0.75899
test_11950_MSE: 0.00065
test_11950_SMAPE: 0.15039
test_11950_MAPE: 16.01064
test_11195_MAE: 0.0061
test_11195_MASE: 7.75445
test_11195_MSE: 4e-05
test_11195_SMAPE: 0.05732
test_11195_MAPE: 5.90675
test_11998_MAE: 0.01571
test_11998_MASE: 0.66912
test_11998_MSE: 0.00035
test_11998_SMAPE: 0.12872
test_11998_MAPE: 12.80375
test_274_MAE: 0.00572
test_274_MASE: 3.87692
test_274_MSE: 3e-05
test_274_SMAPE: 0.05335
test_274_MAPE: 5.48593
test_11407_MAE: 0.01044
test_11407_MASE: 1.45014
test_11407_MSE: 0.00014
test_11407_SMAPE: 0.08214
test_11407_MAPE: 8.69978
test_46_MAE: 0.036
test_46_MASE: 0.71451
test_46_MSE: 0.00234
test_46_SMAPE: 0.20141
test_46_MAPE: 19.12558
test_11326_MAE: 0.00601
test_11326_MASE: 3.71624
test_11326_MSE: 4e-05
test_11326_SMAPE: 0.05605
test_11326_MAPE: 5.77816
test_11335_MAE: 0.00856
test_11335_MASE: 0.78303
test_11335_MSE: 8e-05
test_11335_SMAPE: 0.07314
test_11335_MAPE: 7.50424
test_12197_MAE: 0.00724
test_12197_MASE: 0.83956
test_12197_MSE: 7e-05
test_12197_SMAPE: 0.06648
test_12197_MAPE: 6.82403
test_11693_MAE: 0.19817
test_11693_MASE: 1.71866
test_11693_MSE: 0.04444
test_11693_SMAPE: 0.37498
test_11693_MAPE: 31.21113
test_11780_MAE: 0.00734
test_11780_MASE: 1.85501
test_11780_MSE: 6e-05
test_11780_SMAPE: 0.06938
test_11780_MAPE: 7.18565
test_12502_MAE: 0.01746
test_12502_MASE: 0.86845
test_12502_MSE: 0.00043
test_12502_SMAPE: 0.12508
test_12502_MAPE: 11.548
test_11866_MAE: 0.00642
test_11866_MASE: 2.96192
test_11866_MSE: 5e-05
test_11866_SMAPE: 0.05872
test_11866_MAPE: 6.08403
test_11400_MAE: 0.09129
test_11400_MASE: 1.63257
test_11400_MSE: 0.01141
test_11400_SMAPE: 0.29504
test_11400_MAPE: 25.12507
test_12256_MAE: 0.00512
test_12256_MASE: 0.6642
test_12256_MSE: 4e-05
test_12256_SMAPE: 0.03776
test_12256_MAPE: 3.86514
test_10320_MAE: 0.01322
test_10320_MASE: 0.83736
test_10320_MSE: 0.00021
test_10320_SMAPE: 0.08426
test_10320_MAPE: 8.32987
test_10030_MAE: 0.03465
test_10030_MASE: 0.75261
test_10030_MSE: 0.0017
test_10030_SMAPE: 0.19242
test_10030_MAPE: 20.1582
test_None_MAE: 0.02166
test_None_MASE: 1.41423
test_None_MSE: 0.00209
test_None_SMAPE: 0.10253
test_None_MAPE: 10.01802
test_MASE_7_DAYS: 0.89718
